trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,ls.png,testls.png,local,local_l,cross,12,11.67274785041809,1.9454579750696819,1.3677988879192255,3.334589958190918,[ 3.33458996  7.23862791 11.19879794 13.33452702 15.78260589 24.15868187],[ 4.92406797 10.25193882 11.37216902 14.34802389 20.13216186 25.69221687],"[1.5894780158996582, 3.0133109092712402, 0.1733710765838623, 1.0134968757629395, 4.349555969238281, 1.5335350036621094]"
2,ls.png,15ls.png,invalid,block,cross,12,8.424257516860962,1.404042919476827,0.6626331283542157,3.9670960903167725,[ 3.96709609 11.35925984 14.30306888 18.5030551  25.73559594 30.1913631 ],[ 5.75634313 12.1563499  16.52474213 20.26856017 27.31682301 30.46087813],"[1.7892470359802246, 0.7970900535583496, 2.2216732501983643, 1.765505075454712, 1.5812270641326904, 0.2695150375366211]"
3,1ls.png,ls.png,valid,line,uncross,10,6.307201862335205,1.261440372467041,0.5419556799590012,4.599139213562012,[ 4.59913921  9.81518793 14.73512411 19.90355206 27.39952803],[ 5.15664911 11.25250411 15.66873598 22.07687092 28.60497308],"[0.5575098991394043, 1.4373161792755127, 0.9336118698120117, 2.173318862915039, 1.2054450511932373]"
4,15ls.png,ls.png,valid,block,uncross,12,5.234059810638428,0.8723433017730713,0.37592261993188,9.303153991699219,[ 9.30315399  9.974962   14.40697384 17.6393888  23.51942587 26.16736698],[ 9.49267578 10.96460176 14.95703506 18.78942585 24.71688199 27.32471085],"[0.18952178955078125, 0.9896397590637207, 0.5500612258911133, 1.1500370502471924, 1.1974561214447021, 1.157343864440918]"
5,testls.png,ls.png,local,local_r,uncross,14,9.383332967758179,1.3404761382511683,0.5924457863617424,4.326964855194092,"[ 4.32696486  9.33541298 11.77491188 14.24699903 18.13504195 22.58308673
 27.53530693]","[ 5.39650297 10.55648589 12.65268397 15.47675896 20.58883882 23.18085384
 29.46893287]","[1.0695381164550781, 1.2210729122161865, 0.8777720928192139, 1.229759931564331, 2.453796863555908, 0.5977671146392822, 1.9336259365081787]"
6,ls.png,15ls.png,invalid,block,cross,10,7.123010873794556,1.424602174758911,0.21058294678363607,6.2232890129089355,[ 6.22328901 10.43927288 17.49543023 24.87936997 28.59126592],[ 7.77265787 11.86079216 18.54864001 26.29273796 30.27681088],"[1.5493688583374023, 1.4215192794799805, 1.0532097816467285, 1.4133679866790771, 1.6855449676513672]"
7,1ls.png,ls.png,valid,line,uncross,12,5.281315803527832,0.880219300587972,0.4951953900737313,5.182996988296509,[ 5.18299699  7.95113802 13.11091971 17.80702186 25.78320408 27.767138  ],[ 5.67648292  9.72450495 14.10858679 18.90871382 26.46867704 27.99676895],"[0.4934859275817871, 1.773366928100586, 0.9976670742034912, 1.1016919612884521, 0.6854729652404785, 0.2296309471130371]"
8,ls.png,1ls.png,invalid,line,cross,12,9.235728025436401,1.5392880042394002,0.29586206357767153,4.022830009460449,[ 4.02283001 10.04717994 14.10302496 17.77505088 22.57518888 25.83158803],[ 5.34275603 12.06856704 15.20472789 19.50077581 24.01286912 27.46089482],"[1.3199260234832764, 2.0213871002197266, 1.1017029285430908, 1.7257249355316162, 1.4376802444458008, 1.6293067932128906]"
9,15ls.png,ls.png,valid,block,uncross,8,4.917903184890747,1.2294757962226868,0.6568829427931195,7.951117992401123,[ 7.95111799 11.54299593 14.95102715 22.55144334],[ 9.16455913 11.77254224 16.36462307 24.61276317],"[1.2134411334991455, 0.22954630851745605, 1.4135959148406982, 2.0613198280334473]"
10,1ls.png,ls.png,valid,line,uncross,12,5.561146020889282,0.9268576701482137,0.2749276476364824,4.76701807975769,[ 4.76701808  7.14301705 14.98335385 19.00720906 23.64742708 27.61531091],[ 5.17263293  8.11661005 15.73274398 20.21279287 24.78081703 28.70888519],"[0.40561485290527344, 0.97359299659729, 0.7493901252746582, 1.2055838108062744, 1.133389949798584, 1.0935742855072021]"
