trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,15ls.png,ls.png,valid,block,cross,14,3.1827480792999268,0.4546782970428467,0.19116037622812435,5.750319957733154,"[ 5.75031996 10.07821107 14.67013073 19.09441495 20.05400085 23.89431906
 27.03027391]","[ 6.60361695 10.371696   15.1717329  19.3638649  20.54775786 24.38789701
 27.30785298]","[0.8532969951629639, 0.2934849262237549, 0.5016021728515625, 0.26944994926452637, 0.4937570095062256, 0.4935779571533203, 0.27757906913757324]"
2,ls.png,1ls.png,invalid,line,uncross,22,6.911643743515015,0.6283312494104559,0.22262395651454608,2.887147903442383,"[ 2.8871479   7.57508302  9.85476923 14.46290612 15.98290706 18.3428762
 20.55089808 21.23891616 22.25485587 24.31092715 28.34323192]","[ 3.33258915  8.25247312 10.51632214 15.02862787 16.64631295 19.32463717
 21.20466089 21.34861803 22.90068913 25.26051402 28.90071797]","[0.44544124603271484, 0.6773900985717773, 0.661552906036377, 0.5657217502593994, 0.6634058952331543, 0.9817609786987305, 0.6537628173828125, 0.10970187187194824, 0.6458332538604736, 0.9495868682861328, 0.5574860572814941]"
3,1ls.png,ls.png,valid,line,cross,24,3.596198081970215,0.2996831734975179,0.08970794428740501,2.398979902267456,"[ 2.3989799   7.0069499   9.3667829  11.0788269  13.69491482 16.16690588
 17.10286689 19.58294106 21.20694399 23.31906486 26.91963792 28.07100606]","[ 2.57247114  7.18859982  9.62049794 11.27652884 14.14864206 16.54069591
 17.42863178 19.99678087 21.55671287 23.56482196 27.18084097 28.436795  ]","[0.1734912395477295, 0.18164992332458496, 0.25371503829956055, 0.19770193099975586, 0.45372724533081055, 0.37379002571105957, 0.32576489448547363, 0.41383981704711914, 0.34976887702941895, 0.2457571029663086, 0.2612030506134033, 0.36578893661499023]"
4,1ls.png,ls.png,valid,line,cross,26,4.057088613510132,0.3120837395007794,0.18154111757295133,2.9349191188812256,"[ 2.93491912  6.98306608  9.35884404 10.31082606 11.72677922 14.86312604
 18.03136826 19.87105513 20.84690094 23.78299904 25.80704618 26.99939513
 29.76716208]","[ 3.14041591  7.32456803  9.57250094 10.71660519 12.02068305 15.076612
 18.2526741  20.07672024 21.75654006 24.0207212  26.06878209 27.26889706
 30.04485607]","[0.20549678802490234, 0.34150195121765137, 0.21365690231323242, 0.4057791233062744, 0.29390382766723633, 0.2134859561920166, 0.22130584716796875, 0.20566511154174805, 0.9096391201019287, 0.23772215843200684, 0.2617359161376953, 0.2695019245147705, 0.2776939868927002]"
5,ls.png,1ls.png,invalid,line,uncross,26,8.385788202285767,0.6450606309450589,0.33284786177173153,6.935331106185913,"[ 6.93533111  7.61489606  9.5989182  11.39885998 14.21511698 15.31887412
 17.23901892 19.97498894 23.54317212 24.50304103 26.43099117 27.51891613
 29.89507198]","[ 7.25253201  8.22848296 11.08464599 11.70053697 14.90061784 15.72467923
 18.26865602 20.68470693 24.18087387 25.32474399 27.20479107 27.74087906
 30.27683902]","[0.3172008991241455, 0.6135869026184082, 1.4857277870178223, 0.30167698860168457, 0.6855008602142334, 0.4058051109313965, 1.029637098312378, 0.7097179889678955, 0.6377017498016357, 0.8217029571533203, 0.7737998962402344, 0.22196292877197266, 0.38176703453063965]"
6,ls.png,15ls.png,invalid,block,uncross,20,8.913610935211182,0.8913610935211181,0.4476545307924242,1.9750540256500244,"[ 1.97505403  4.19864297  8.35877585 10.81469393 13.51882887 18.47885394
 21.758708   26.2229321  28.30297089 29.57492113]","[ 2.62813592  4.76429701  9.22037697 11.46046185 14.69373083 19.43653989
 23.82043815 27.172647   28.66870403 30.25266099]","[0.6530818939208984, 0.5656540393829346, 0.8616011142730713, 0.6457679271697998, 1.1749019622802734, 0.9576859474182129, 2.061730146408081, 0.9497148990631104, 0.36573314666748047, 0.6777398586273193]"
7,1ls.png,ls.png,valid,line,cross,20,6.848596811294556,0.6848596811294556,0.5721671823991122,6.727092981338501,"[ 6.72709298  8.90303278  9.8229177  10.77496386 12.30292988 14.62330866
 19.39954472 23.7512629  25.39915395 29.85533381]","[ 7.02072883  9.15679479 10.10874772 11.02076697 13.10870385 15.44477677
 20.52480578 24.1649127  27.57294583 30.28495479]","[0.29363584518432617, 0.25376200675964355, 0.285830020904541, 0.2458031177520752, 0.8057739734649658, 0.8214681148529053, 1.1252610683441162, 0.4136497974395752, 2.1737918853759766, 0.42962098121643066]"
8,ls.png,15ls.png,invalid,block,uncross,18,10.54811692237854,1.1720129913753934,0.705657108098526,2.502948045730591,"[ 2.50294805  6.5348978  10.36741304 14.04719782 16.03899598 21.33524084
 24.08705211 25.6391511  27.359231  ]","[ 3.82844996  8.03662896 11.100528   15.93272185 16.06873488 22.32483721
 25.29296088 26.03690195 29.83848095]","[1.3255019187927246, 1.5017311573028564, 0.7331149578094482, 1.885524034500122, 0.029738903045654297, 0.9895963668823242, 1.2059087753295898, 0.3977508544921875, 2.479249954223633]"
9,ls.png,testls.png,local,local,t.cross,24,12.668914794921875,1.055742899576823,0.62287934316755,0.8628408908843994,"[ 0.86284089  3.15082502  6.2069242  10.37499595 13.2389462  14.59897709
 16.99904799 18.49506211 20.97509098 24.95918012 27.52721906 29.2071178 ]","[ 1.61254311  4.62862396  8.4286952  11.86074805 14.11659598 14.94875717
 17.53275084 19.03682685 23.21271396 25.70894694 28.42096114 29.75697899]","[0.7497022151947021, 1.4777989387512207, 2.221771001815796, 1.4857521057128906, 0.8776497840881348, 0.3497800827026367, 0.5337028503417969, 0.5417647361755371, 2.2376229763031006, 0.7497668266296387, 0.8937420845031738, 0.5498611927032471]"
10,testls.png,ls.png,local,local,t.uncross,32,7.603193283081055,0.4751995801925659,0.2558583096691334,2.5348808765411377,"[ 2.53488088  4.55894375  5.81486273  8.11891985  9.83092093 11.73494577
 12.23086381 14.50295305 16.18304276 17.91891885 19.45488381 20.2070539
 21.0870297  22.43915701 25.49529505 30.2234199 ]","[ 3.30853796  4.88452673  6.44451594  8.516608   10.17271566 12.18861485
 12.34873772 15.11673975 16.40464783 18.18871474 19.76475883 20.81276584
 21.47683883 23.39680481 26.49287987 30.4208777 ]","[0.7736570835113525, 0.32558298110961914, 0.6296532154083252, 0.3976881504058838, 0.3417947292327881, 0.45366907119750977, 0.1178739070892334, 0.6137866973876953, 0.2216050624847412, 0.26979589462280273, 0.3098750114440918, 0.6057119369506836, 0.38980913162231445, 0.9576478004455566, 0.9975848197937012, 0.19745779037475586]"
