trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,testls.png,1cls.png,local,local_r,uncross,16,6.452484130859375,0.8065605163574219,0.8026724159714722,7.637303113937378,"[ 7.63730311  8.10091901 10.01332116 12.48491621 14.30104899 17.98901606
 22.42142892 29.25338101]","[ 8.05864811  8.12262511 10.45065212 12.99473214 15.60260606 18.47482204
 25.16269994 29.78703308]","[0.4213449954986572, 0.021706104278564453, 0.437330961227417, 0.5098159313201904, 1.3015570640563965, 0.4858059883117676, 2.7412710189819336, 0.5336520671844482]"
2,1cls.png,1ls.png,invalid,line,cross,14,9.063133001327515,1.2947332859039307,0.6826723504457267,6.823254108428955,"[ 6.82325411  8.55890703 10.60708785 13.97507787 19.45528102 26.23934793
 28.71153903]","[ 6.97268319  9.72475696 12.64456677 15.49278021 21.69288778 27.56496811
 29.34098482]","[0.1494290828704834, 1.1658499240875244, 2.0374789237976074, 1.517702341079712, 2.2376067638397217, 1.325620174407959, 0.6294457912445068]"
3,1cls.png,testls.png,local,local_l,cross,10,8.03839921951294,1.607679843902588,0.38515588119415345,4.543048143386841,[ 4.54304814  8.45499015 17.37515903 22.55109024 28.97526097],[ 5.51845813 10.38856506 19.37267733 24.31740713 30.3408401 ],"[0.975409984588623, 1.933574914932251, 1.9975183010101318, 1.7663168907165527, 1.3655791282653809]"
4,1ls.png,1cls.png,valid,line,uncross,12,5.322343587875366,0.8870572646458944,0.4860741259572626,10.055293798446655,[10.0552938  15.52720308 16.19909501 25.81572104 27.32712603 29.53525877],[11.50068784 15.83681989 17.70207787 26.10088301 28.34076786 30.30080485],"[1.4453940391540527, 0.3096168041229248, 1.5029828548431396, 0.28516197204589844, 1.0136418342590332, 0.7655460834503174]"
5,1ls.png,1cls.png,valid,line,uncross,12,2.60119891166687,0.43353315194447833,0.24556011796186428,3.775012969970703,[ 3.77501297 15.61533999 17.92709398 21.27956891 25.74347901 29.61539316],[ 4.06861711 15.95683193 18.90079904 21.56484509 26.15699792 29.90899587],"[0.29360413551330566, 0.3414919376373291, 0.9737050533294678, 0.2852761745452881, 0.41351890563964844, 0.29360270500183105]"
6,1ls.png,1cls.png,valid,line,uncross,8,4.215693473815918,1.0539233684539795,0.3731876142218161,7.6072838306427,[ 7.60728383 14.0393641  15.74317479 19.89528179],[ 9.02852082 14.49282598 16.78247809 21.19697309],"[1.4212369918823242, 0.4534618854522705, 1.0393033027648926, 1.3016912937164307]"
7,1ls.png,1cls.png,valid,line,uncross,12,3.5048422813415527,0.5841403802235922,0.4716119798281615,11.42330288887024,[11.42330289 16.28729081 19.7755971  22.30331993 26.14334798 30.39130068],[11.74071813 17.68463778 20.1488378  22.60486603 27.1890099  30.46093202],"[0.3174152374267578, 1.3973469734191895, 0.37324070930480957, 0.3015460968017578, 1.0456619262695312, 0.06963133811950684]"
8,15cls.png,15ls.png,invalid,da_Vinci,cross,10,3.675330638885498,0.7350661277770996,0.36496687340110057,3.6708221435546875,[ 3.67082214  8.62292194 16.63940716 20.47911811 24.78318524],[ 4.30046105  8.89251804 17.90847707 21.50866199 25.26066709],"[0.6296389102935791, 0.2695960998535156, 1.2690699100494385, 1.0295438766479492, 0.4774818420410156]"
9,1cls.png,testls.png,local,local_l,cross,12,13.381892919540405,2.2303154865900674,1.0429247488236357,2.070580005645752,[ 2.07058001  9.82308197 14.67071891 19.15096807 22.47879505 25.23887801],[ 4.54231286 11.83820176 17.54851294 20.90074277 22.91654181 29.0686028 ],"[2.4717328548431396, 2.015119791030884, 2.877794027328491, 1.749774694442749, 0.4377467632293701, 3.8297247886657715]"
10,15ls.png,15cls.png,valid,da_Vinci,uncross,4,0.6590588092803955,0.32952940464019775,0.044173598289489746,13.959125995635986,[13.959126   15.09474182],[14.2444818  15.46844482],"[0.285355806350708, 0.3737030029296875]"
11,1cls.png,testls.png,local,local_l,cross,16,12.006211996078491,1.5007764995098114,1.1553888147454743,2.590879201889038,"[ 2.5908792  10.33501315 11.65482688 13.50288415 20.15903711 22.27094603
 23.23087502 26.69562888]","[ 6.04444003 10.956388   12.1485889  16.93263912 21.27002692 22.98081923
 24.67670226 27.43669796]","[3.4535608291625977, 0.6213748455047607, 0.4937620162963867, 3.4297549724578857, 1.1109898090362549, 0.7098731994628906, 1.4458272457122803, 0.7410690784454346]"
12,15ls.png,1cls.png,valid,block,uncross,6,2.6721749305725098,0.8907249768575033,0.48468132156117366,18.90354299545288,[18.903543   24.16758394 24.7432251 ],[20.31685591 24.4128921  25.75677896],"[1.4133129119873047, 0.24530816078186035, 1.0135538578033447]"
13,1cls.png,15ls.png,invalid,block,cross,12,7.6175525188446045,1.2695920864741008,0.7735780643164644,4.815102815628052,[ 4.81510282  8.56685615 12.46308494 13.11093593 24.26330209 29.02313805],[ 6.82856607  9.72441411 12.66058421 13.652632   26.69279003 30.30098605],"[2.013463258743286, 1.1575579643249512, 0.19749927520751953, 0.5416960716247559, 2.429487943649292, 1.2778480052947998]"
14,1cls.png,15ls.png,invalid,block,cross,10,8.195520639419556,1.6391041278839111,0.6425614979798954,3.6787569522857666,[ 3.67875695  8.17490005 17.45513773 21.59105682 28.49545693],[ 4.50826073 10.76457787 18.47664785 23.54050374 30.30083895],"[0.8295037746429443, 2.5896778106689453, 1.021510124206543, 1.9494469165802002, 1.8053820133209229]"
15,1cls.png,15ls.png,invalid,block,cross,10,9.421290874481201,1.8842581748962401,0.794131400350717,2.8148670196533203,[ 2.81486702  8.87905717 17.28731608 25.04726911 29.47109294],[ 3.99624801 11.78238416 19.68467808 27.22875905 30.2288239 ],"[1.1813809871673584, 2.903326988220215, 2.397361993789673, 2.181489944458008, 0.7577309608459473]"
16,1cls.png,1ls.png,invalid,line,cross,14,6.863121032714844,0.9804458618164062,0.5961658048523741,4.134787082672119,"[ 4.13478708  8.95886397 17.06312299 20.16723299 22.97517514 27.00714493
 28.43898702]","[ 5.348382   10.95655107 17.54060102 21.41264606 24.31666303 27.2687459
 28.76484609]","[1.213594913482666, 1.9976871013641357, 0.47747802734375, 1.245413064956665, 1.3414878845214844, 0.26160097122192383, 0.32585906982421875]"
17,15cls.png,15ls.png,invalid,da_Vinci,cross,8,4.278006315231323,1.0695015788078308,0.4877860732187915,8.79137110710144,[ 8.79137111 15.39135599 20.85517597 26.87934399],[ 9.05260015 16.81253195 22.34075403 27.98936725],"[0.2612290382385254, 1.4211759567260742, 1.4855780601501465, 1.1100232601165771]"
18,1cls.png,15ls.png,invalid,block,cross,10,9.30767273902893,1.861534547805786,0.3123841915293419,4.83083701133728,[ 4.83083701 10.55889511 16.87125492 21.03888679 26.51094699],[ 6.78038287 11.82827377 18.7405591  23.09261584 28.67666197],"[1.9495458602905273, 1.269378662109375, 1.8693041801452637, 2.0537290573120117, 2.165714979171753]"
19,15ls.png,1cls.png,valid,block,uncross,2,1.4850571155548096,1.4850571155548096,0.0,23.191535711288452,[23.19153571],[24.67659283],[1.4850571155548096]
20,1ls.png,1cls.png,valid,line,uncross,10,3.4276697635650635,0.6855339527130127,0.41160638394482674,12.967151165008545,[12.96715117 15.10266399 17.19877005 20.35082126 25.27898026],[13.6602242  15.32441401 18.40445113 20.58052206 26.35644507],"[0.693073034286499, 0.22175002098083496, 1.2056810855865479, 0.22970080375671387, 1.0774648189544678]"
