trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,testls.png,1cls.png,local,local_r,uncross,2,1.6129531860351562,1.6129531860351562,0.0,28.79811191558838,[28.79811192],[30.4110651],[1.6129531860351562]
2,1cls.png,1ls.png,invalid,line,cross,10,21.7485568523407,4.34971137046814,2.6303485434627776,1.022737979888916,[ 1.02273798  8.18292093 17.31096601 20.43922305 22.72706676],[ 4.91632271 15.3247261  19.28481388 21.57281208 30.33279681],"[3.893584728240967, 7.141805171966553, 1.9738478660583496, 1.1335890293121338, 7.605730056762695]"
3,1cls.png,15ls.png,invalid,block,cross,6,18.296755075454712,6.098918358484904,5.234617446051687,7.591247797012329,[ 7.5912478  15.78301477 16.97487092],[11.50054193 16.85253191 30.29281473],"[3.9092941284179688, 1.0695171356201172, 13.317943811416626]"
4,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
5,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
6,1cls.png,15ls.png,invalid,block,cross,4,9.869303226470947,4.934651613235474,2.817164421081543,11.527339935302734,[11.52733994 28.51949191],[19.27915597 30.6369791 ],"[7.751816034317017, 2.1174871921539307]"
7,1ls.png,1cls.png,valid,line,uncross,4,0.458925724029541,0.2294628620147705,0.20773887634277344,25.76761031150818,[25.76761031 26.38309717],[26.20481205 26.40482116],"[0.43720173835754395, 0.02172398567199707]"
8,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
9,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
10,15ls.png,15cls.png,valid,da_Vinci,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
11,1cls.png,1ls.png,invalid,line,cross,10,15.741311073303223,3.1482622146606447,2.179334810513993,3.246946096420288,[ 3.2469461  10.43922615 13.7748313  17.23143315 27.18348527],[ 4.76457334 12.60474706 15.33277011 24.57416034 30.3409822 ],"[1.517627239227295, 2.1655209064483643, 1.557938814163208, 7.342727184295654, 3.157496929168701]"
12,15ls.png,1cls.png,valid,block,uncross,4,3.347432851791382,1.673716425895691,1.4444736242294312,26.783565044403076,[26.78356504 27.19105005],[27.01280785 30.3092401 ],"[0.22924280166625977, 3.118190050125122]"
13,1cls.png,15ls.png,invalid,block,cross,0,0.0,0.0,0.0,30.0,[],[],[]
14,15ls.png,15cls.png,valid,da_Vinci,uncross,2,0.19735097885131836,0.19735097885131836,0.0,26.11938714981079,[26.11938715],[26.31673813],[0.19735097885131836]
15,1ls.png,1cls.png,valid,line,uncross,2,0.8211970329284668,0.8211970329284668,0.0,27.951521158218384,[27.95152116],[28.77271819],[0.8211970329284668]
16,15cls.png,15ls.png,invalid,da_Vinci,cross,8,18.10208535194397,4.525521337985992,1.5477286414463451,1.150820016860962,[ 1.15082002 13.02346992 18.36741495 27.93544483],[ 7.35661316 16.67674994 24.17285705 30.37301493],"[6.205793142318726, 3.653280019760132, 5.8054420948028564, 2.437570095062256]"
