trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1cls.png,15ls.png,invalid,block,cross,10,10.69146180152893,2.138292360305786,0.8153904017525997,10.269006252288818,[10.26900625 14.06076717 16.82101727 22.84506321 27.00487709],[11.58631015 15.81062722 19.22636318 26.45054626 28.61834598],"[1.3173038959503174, 1.7498600482940674, 2.405345916748047, 3.605483055114746, 1.613468885421753]"
2,testls.png,1cls.png,local,local_r,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
3,15ls.png,15cls.png,valid,da_Vinci,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
4,15cls.png,15ls.png,invalid,da_Vinci,cross,8,19.6538507938385,4.913462698459625,3.2310356399392393,3.871109962463379,[ 3.87110996  5.66314507 10.53506899 19.70305395],[ 4.92433     8.06855798 18.25254393 28.18079686],"[1.0532200336456299, 2.4054129123687744, 7.717474937438965, 8.477742910385132]"
5,testls.png,1cls.png,local,local_r,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
6,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
7,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
8,1cls.png,15ls.png,invalid,block,cross,6,18.496860027313232,6.165620009104411,3.8563177555807453,10.103320837020874,[10.10332084 13.99879289 18.950773  ],[12.34053588 18.85256505 30.35664582],"[2.237215042114258, 4.853772163391113, 11.405872821807861]"
9,15ls.png,15cls.png,valid,da_Vinci,uncross,4,1.163130760192871,0.5815653800964355,0.34432458877563477,9.93538522720337,[ 9.93538523 11.18277717],[10.17262602 12.10866714],"[0.23724079132080078, 0.9258899688720703]"
10,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
11,1cls.png,testls.png,local,local_l,cross,4,25.707483053207397,12.853741526603699,12.424089550971985,2.1671319007873535,[ 2.1671319  27.62320304],[27.44496298 28.05285501],"[25.277831077575684, 0.42965197563171387]"
12,1cls.png,testls.png,local,local_l,cross,6,18.376784086227417,6.125594695409139,3.2942922928986134,3.366917848587036,[ 3.36691785  8.44654202 19.72736001],[ 8.38840699 11.20446301 30.32473397],"[5.021489143371582, 2.757920980453491, 10.597373962402344]"
13,1cls.png,testls.png,local,local_l,cross,2,25.525913953781128,25.525913953781128,0.0,4.798975944519043,[4.79897594],[30.3248899],[25.525913953781128]
14,testls.png,1cls.png,local,local_r,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
15,15ls.png,1cls.png,valid,block,uncross,2,0.21345305442810059,0.21345305442810059,0.0,30.39151692390442,[30.39151692],[30.60496998],[0.21345305442810059]
16,15cls.png,15ls.png,invalid,da_Vinci,cross,4,21.019575119018555,10.509787559509277,8.103681325912476,6.087049245834351,[ 6.08704925 27.99898791],[24.70051813 30.40509415],"[18.613468885421753, 2.4061062335968018]"
17,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
18,1cls.png,15ls.png,invalid,block,cross,12,8.056579828262329,1.3427633047103882,0.4370690613121049,7.023161172866821,[ 7.02316117 14.0953033  19.15939832 22.95914006 25.64717531 28.91930819],[ 7.72449613 15.92448115 20.78071022 23.76460123 27.34891129 30.31686616],"[0.7013349533081055, 1.8291778564453125, 1.621311902999878, 0.8054611682891846, 1.7017359733581543, 1.3975579738616943]"
19,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
20,1cls.png,15ls.png,invalid,block,cross,2,22.670374870300293,22.670374870300293,0.0,7.695380926132202,[7.69538093],[30.3657558],[22.670374870300293]
21,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
22,1cls.png,1ls.png,invalid,line,cross,2,24.125611782073975,24.125611782073975,0.0,6.399198293685913,[6.39919829],[30.52481008],[24.125611782073975]
23,15cls.png,15ls.png,invalid,da_Vinci,cross,10,23.86989998817444,4.773979997634887,4.85280001787624,3.0631020069122314,[ 3.06310201  9.74283123 11.86288905 26.18302011 27.83916998],[ 8.79632211 10.92452192 25.67669415 26.83659816 30.32677603],"[5.733220100402832, 1.1816906929016113, 13.813805103302002, 0.6535780429840088, 2.4876060485839844]"
24,15ls.png,15cls.png,valid,da_Vinci,uncross,2,1.157151222229004,1.157151222229004,0.0,20.055325984954834,[20.05532598],[21.21247721],[1.157151222229004]
25,1cls.png,1ls.png,invalid,line,cross,12,20.506052494049072,3.4176754156748452,5.01531107880649,2.8148651123046875,[ 2.81486511  4.03881502  5.96694922  7.70281029 14.44714308 15.89517212],[ 3.22857022  4.48459911  6.9723711  10.66870499 15.65267992 30.36488199],"[0.41370511054992676, 0.4457840919494629, 1.0054218769073486, 2.9658946990966797, 1.2055368423461914, 14.469709873199463]"
26,15ls.png,15cls.png,valid,da_Vinci,uncross,2,0.724977970123291,0.724977970123291,0.0,9.119455099105835,[9.1194551],[9.84443307],[0.724977970123291]
27,1cls.png,testls.png,local,local_l,cross,2,27.00591206550598,27.00591206550598,0.0,3.367030143737793,[3.36703014],[30.37294221],[27.00591206550598]
28,15cls.png,15ls.png,invalid,da_Vinci,cross,6,17.04834794998169,5.6827826499938965,5.983309852953715,6.671150207519531,[ 6.67115021  8.11891007 27.59953809],[ 6.94057393 22.14057016 30.35680223],"[0.2694237232208252, 14.021660089492798, 2.7572641372680664]"
29,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
30,1cls.png,1ls.png,invalid,line,cross,8,19.422273874282837,4.855568468570709,5.4996375484900355,3.8872289657592773,[ 3.88722897  5.17500806 12.61531997 16.22309208],[ 4.21265912  6.636693   16.06874084 30.40482998],"[0.32543015480041504, 1.4616849422454834, 3.453420877456665, 14.181737899780273]"
31,15ls.png,15cls.png,valid,da_Vinci,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
32,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
33,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
34,testls.png,1cls.png,local,local_r,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
35,testls.png,1cls.png,local,local_r,uncross,6,2.2742717266082764,0.7580905755360922,0.22718589981694134,9.079027891159058,[ 9.07902789 15.36739206 24.26327515],[ 9.51644397 16.26861382 25.19890904],"[0.43741607666015625, 0.901221752166748, 0.9356338977813721]"
36,15cls.png,15ls.png,invalid,da_Vinci,cross,18,14.177972793579102,1.575330310397678,1.4487707654315976,6.823299169540405,"[ 6.82329917  8.25496507 11.03888917 13.29488921 14.97497916 17.07886529
 18.31916118 21.72705197 24.87121201]","[ 7.46857333  9.09235191 12.19655228 14.07659793 16.98061109 17.44458532
 20.00455022 22.98857903 30.30888391]","[0.6452741622924805, 0.8373868465423584, 1.157663106918335, 0.7817087173461914, 2.005631923675537, 0.3657200336456299, 1.6853890419006348, 1.2615270614624023, 5.437671899795532]"
37,1cls.png,1ls.png,invalid,line,cross,8,21.494540691375732,5.373635172843933,5.181191691980115,6.22335410118103,[ 6.2233541   9.84682274 10.15101099 26.41525793],[ 9.72473788  9.94861674 24.12473011 30.33290172],"[3.5013837814331055, 0.10179400444030762, 13.973719120025635, 3.9176437854766846]"
38,1cls.png,15ls.png,invalid,block,cross,0,0.0,0.0,0.0,30.0,[],[],[]
39,1cls.png,1ls.png,invalid,line,cross,4,27.522748708724976,13.761374354362488,12.484081387519836,1.9753940105438232,[1.97539401 4.2394681 ],[ 3.25268698 30.48492384],"[1.2772929668426514, 26.245455741882324]"
40,1cls.png,testls.png,local,local_l,cross,2,28.677794933319092,28.677794933319092,0.0,1.7509331703186035,[1.75093317],[30.4287281],[28.677794933319092]
