trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1ls.png,1cls.png,valid,line,uncross,6,9.777109146118164,3.259036382039388,1.114022981287409,11.677304983139038,[11.67730498 15.44472075 23.06109476],[13.63438392 18.58645797 27.73938775],"[1.9570789337158203, 3.141737222671509, 4.678292989730835]"
2,1cls.png,testls.png,local,local_l,cross,8,8.36763334274292,2.09190833568573,1.0023028109282097,11.335309028625488,[11.33530903 18.09560609 22.23940396 28.55957818],[13.72725701 18.82863617 25.73288417 30.30875325],"[2.3919479846954346, 0.7330300807952881, 3.4934802055358887, 1.7491750717163086]"
3,15ls.png,1cls.png,valid,block,uncross,4,2.0184812545776367,1.0092406272888184,0.14793753623962402,16.319464921951294,[16.31946492 27.26363087],[17.18076801 28.42080903],"[0.8613030910491943, 1.1571781635284424]"
4,testls.png,1cls.png,local,local_r,uncross,12,11.089254140853882,1.848209023475647,1.0737676931486535,3.238903045654297,[ 3.23890305  7.65513086 16.2793591  18.23906994 26.13551903 29.59128904],[ 5.05261326  9.37249303 16.80475807 21.74080586 28.99692106 30.26093388],"[1.8137102127075195, 1.7173621654510498, 0.5253989696502686, 3.5017359256744385, 2.8614020347595215, 0.669644832611084]"
5,1cls.png,1ls.png,invalid,line,cross,6,8.82426905632019,2.941423018773397,0.8073619450976164,4.4471940994262695,[ 4.4471941  12.415344   22.47951603],[ 8.50866199 14.98877215 24.66888905],"[4.061467885971069, 2.573428153991699, 2.189373016357422]"
6,15ls.png,1cls.png,valid,block,uncross,4,2.322695732116699,1.1613478660583496,0.3079261779785156,23.687477111816406,[23.68747711 26.94352102],[24.5408988  28.41279507],"[0.853421688079834, 1.4692740440368652]"
7,15ls.png,15cls.png,valid,da_Vinci,uncross,4,5.898558139801025,2.9492790699005127,0.2638509273529053,12.975350856781006,[12.97535086 23.59958792],[15.660779   26.81271791],"[2.6854281425476074, 3.213129997253418]"
8,15ls.png,1cls.png,valid,block,uncross,8,5.1416637897491455,1.2854159474372864,1.3403520883441427,1.3031580448150635,[ 1.30315804  7.73534584 12.9753449  20.359447  ],[ 1.38865495  8.76463485 16.50877285 20.85289693],"[0.08549690246582031, 1.0292890071868896, 3.5334279537200928, 0.4934499263763428]"
9,15ls.png,1cls.png,valid,block,uncross,8,5.637561559677124,1.409390389919281,0.7126155844450509,5.103278160095215,[ 5.10327816  7.75912285 14.21543694 21.64761209],[ 6.02867699  8.47665882 15.65280986 24.20486593],"[0.9253988265991211, 0.7175359725952148, 1.4373729228973389, 2.557253837585449]"
10,1cls.png,testls.png,local,local_l,cross,8,10.109375476837158,2.5273438692092896,0.4441417785111673,5.831231117248535,[ 5.83123112 12.60721326 16.88731599 21.67931128],[ 8.99644923 14.51662636 19.39672518 24.20464635],"[3.1652181148529053, 1.9094130992889404, 2.509409189224243, 2.5253350734710693]"
11,1cls.png,testls.png,local,local_l,cross,10,10.819355964660645,2.163871192932129,0.6026406895938622,2.0627200603485107,[ 2.06272006  6.02274084 10.4707458  16.83907986 26.30329394],[ 3.21212602  8.31637979 12.41225982 19.78850412 28.78866673],"[1.1494059562683105, 2.2936389446258545, 1.941514015197754, 2.9494242668151855, 2.48537278175354]"
12,1cls.png,1ls.png,invalid,line,cross,12,8.040340423583984,1.3400567372639973,0.5929331551659922,2.767247200012207,[ 2.7672472   7.78326106 14.55937099 15.92718697 20.60729408 25.73540401],[ 3.8204062  10.00451803 15.13279414 16.89275813 22.65268707 26.91694117],"[1.0531589984893799, 2.221256971359253, 0.5734231472015381, 0.9655711650848389, 2.0453929901123047, 1.18153715133667]"
13,1ls.png,1cls.png,valid,line,uncross,6,7.553333282470703,2.517777760823568,0.6612673416291631,7.087239980697632,[ 7.08723998 19.41536903 27.91148615],[ 8.82857704 22.77277231 30.36607909],"[1.7413370609283447, 3.35740327835083, 2.4545929431915283]"
14,15cls.png,15ls.png,invalid,da_Vinci,cross,8,6.7019922733306885,1.6754980683326721,1.1179048879219327,5.167253017425537,[ 5.16725302  7.11916995 11.91928911 21.1355021 ],[ 5.69274807  7.79666615 15.10085917 23.45293307],"[0.5254950523376465, 0.6774961948394775, 3.181570053100586, 2.3174309730529785]"
15,15cls.png,15ls.png,invalid,da_Vinci,cross,2,1.8053679466247559,1.8053679466247559,0.0,18.5195472240448,[18.51954722],[20.32491517],[1.8053679466247559]
16,15cls.png,15ls.png,invalid,da_Vinci,cross,8,3.053476333618164,0.763369083404541,0.316228655444669,10.439169883728027,[10.43916988 12.56714892 20.38339996 29.51950908],[10.83666706 13.81261396 20.97253323 30.34088993],"[0.39749717712402344, 1.2454650402069092, 0.5891332626342773, 0.8213808536529541]"
17,1cls.png,testls.png,local,local_l,cross,8,9.109464406967163,2.2773661017417908,0.9587529852917336,1.934786081314087,[ 1.93478608  8.03904891 12.71889782 18.84718013],[ 5.35616112  8.89247799 15.52436209 20.87637615],"[3.421375036239624, 0.8534290790557861, 2.805464267730713, 2.02919602394104]"
18,testls.png,1cls.png,local,local_r,uncross,6,5.264535188674927,1.7548450628916423,1.4461200918156303,7.127303838729858,[ 7.12730384 19.40725684 29.75143385],[10.916682   20.32483888 30.30900884],"[3.7893781661987305, 0.9175820350646973, 0.557574987411499]"
19,1ls.png,1cls.png,valid,line,uncross,8,7.901682138442993,1.9754205346107483,0.9090577542334352,11.551462888717651,[11.55146289 19.12744498 22.76723981 29.28741789],[13.05275488 21.02069592 26.22896099 30.33283591],"[1.5012919902801514, 1.8932509422302246, 3.461721181869507, 1.0454180240631104]"
20,15cls.png,15ls.png,invalid,da_Vinci,cross,8,5.453667163848877,1.3634167909622192,0.6203446844560395,4.967327117919922,[ 4.96732712 11.72754598 19.055583   25.8716712 ],[ 6.62876129 13.59685206 19.35695601 27.4932251 ],"[1.6614341735839844, 1.8693060874938965, 0.3013730049133301, 1.621553897857666]"
21,testls.png,1cls.png,local,local_r,uncross,8,6.109120845794678,1.5272802114486694,0.9876272650353252,9.527298927307129,[ 9.52729893 16.74340582 19.78347301 26.75977397],[12.65271306 17.18087578 20.93266487 28.15681887],"[3.1254141330718994, 0.4374699592590332, 1.1491918563842773, 1.3970448970794678]"
22,1cls.png,1ls.png,invalid,line,cross,8,7.397831916809082,1.8494579792022705,0.6842514934666101,9.74337387084961,[ 9.74337387 14.70301199 17.77509594 23.68734312],[12.22856498 15.40464306 19.78055787 25.89289093],"[2.4851911067962646, 0.7016310691833496, 2.0054619312286377, 2.20554780960083]"
23,15cls.png,15ls.png,invalid,da_Vinci,cross,12,7.8908371925354,1.3151395320892334,0.7135721356101826,3.471207857131958,[ 3.47120786 10.42316413 12.44701099 21.16746688 25.85537195 29.58346486],[ 5.83655119 11.39643312 13.73263884 23.30319095 26.28485179 30.28485799],"[2.3653433322906494, 0.973268985748291, 1.285627841949463, 2.1357240676879883, 0.42947983741760254, 0.7013931274414062]"
