trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
2,testls.png,1cls.png,local,local_r,uncross,2,0.9810891151428223,0.9810891151428223,0.0,18.039413928985596,[18.03941393],[19.02050304],[0.9810891151428223]
3,1cls.png,15ls.png,invalid,block,cross,0,0.0,0.0,0.0,30.0,[],[],[]
4,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
5,1cls.png,15ls.png,invalid,block,cross,0,0.0,0.0,0.0,30.0,[],[],[]
6,15ls.png,1cls.png,valid,block,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
7,1cls.png,15ls.png,invalid,block,cross,6,19.841119050979614,6.613706350326538,7.715244620999487,3.781033992767334,[ 3.78103399  9.42923975 12.9251709 ],[ 4.33873177 11.21085691 30.42697501],"[0.5576977729797363, 1.7816171646118164, 17.50180411338806]"
8,1cls.png,15ls.png,invalid,block,cross,4,16.300768613815308,8.150384306907654,7.144961476325989,11.271374225616455,[11.27137423 15.07918024],[12.27679706 30.37452602],"[1.005422830581665, 15.295345783233643]"
9,1cls.png,testls.png,local,local_l,cross,6,23.392845153808594,7.797615051269531,6.912897630765568,2.6948399543762207,[ 2.69483995  7.60717797 12.79899383],[ 5.64459491 10.47644997 30.37281203],"[2.9497549533843994, 2.869271993637085, 17.57381820678711]"
10,1cls.png,1ls.png,invalid,line,cross,6,19.97015881538391,6.656719605127971,4.44089685529261,5.591092348098755,[ 5.59109235 14.51095605 29.70340824],[13.42037129 25.92472601 30.43051815],"[7.829278945922852, 11.413769960403442, 0.7271099090576172]"
11,1ls.png,1cls.png,valid,line,uncross,2,0.4614858627319336,0.4614858627319336,0.0,22.43954825401306,[22.43954825],[22.90103412],[0.4614858627319336]
12,1ls.png,1cls.png,valid,line,uncross,0,0.0,0.0,0.0,30.0,[],[],[]
13,testls.png,1cls.png,local,local_r,uncross,6,10.448860168457031,3.4829533894856772,3.008301978764805,7.663332939147949,[ 7.66333294 13.51118302 19.23921609],[ 8.67673516 15.22877717 26.95707989],"[1.0134022235870361, 1.7175941467285156, 7.7178637981414795]"
