trial,right_eye,left_eye,validity,stim_cnd,disparity,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1cls.png,1ls.png,invalid,line,cross,24,11.091633081436157,0.9243027567863464,0.624598745622269,4.006183862686157,"[ 4.00618386  7.11016297  9.47015405 10.73388481 13.70204592 16.3582468
 18.02997303 20.390311   22.3500421  25.87853312 26.7821219  28.36614394]","[ 4.34759498  8.35555887 10.61162019 10.79562211 13.84365797 17.1716311
 19.20351505 20.89991021 24.476794   26.37986207 27.93968701 30.24398303]","[0.34141111373901367, 1.2453958988189697, 1.1414661407470703, 0.0617372989654541, 0.14161205291748047, 0.8133842945098877, 1.1735420227050781, 0.5095992088317871, 2.1267518997192383, 0.5013289451599121, 1.1575651168823242, 1.8778390884399414]"
2,1cls.png,15ls.png,invalid,block,cross,14,8.982801675796509,1.2832573822566442,0.4644233905942168,4.367098808288574,"[ 4.36709881  9.43924403 13.08710885 18.35925603 21.25529075 22.23908877
 26.33546805]","[ 5.60463691 11.48471594 14.04471183 19.35690975 21.81287074 23.93271971
 27.8287921 ]","[1.2375380992889404, 2.0454719066619873, 0.9576029777526855, 0.9976537227630615, 0.5575799942016602, 1.6936309337615967, 1.4933240413665771]"
3,15cls.png,15ls.png,invalid,da_Vinci,cross,8,0.9418818950653076,0.2354704737663269,0.0680139832964919,6.031264066696167,[ 6.03126407 10.32698298 13.40676093 22.71133089],[ 6.18839288 10.58848095 13.59655404 23.04479289],"[0.15712881088256836, 0.26149797439575195, 0.18979310989379883, 0.3334619998931885]"
4,1cls.png,testls.png,local,local_l,cross,18,12.515050411224365,1.3905611568027072,0.8653633614399219,1.215003252029419,"[ 1.21500325  4.19076824  6.39874411 10.65496612 16.47924614 19.07923007
 21.67116427 25.95140314 28.72736907]","[ 3.31806636  4.70843911  8.09243226 13.41251016 16.76461315 20.37248635
 24.02066112 26.18091702 30.01281929]","[2.1030631065368652, 0.5176708698272705, 1.693688154220581, 2.7575440406799316, 0.2853670120239258, 1.2932562828063965, 2.349496841430664, 0.22951388359069824, 1.2854502201080322]"
5,15ls.png,1cls.png,valid,block,uncross,12,2.784484386444092,0.4640807310740153,0.3365996409185368,5.375124931335449,[ 5.37512493 11.29522896 12.9667809  16.60706401 17.47897911 26.59960294],[ 5.72441912 11.56448698 13.23650789 16.94860911 17.82063413 27.812608  ],"[0.34929418563842773, 0.2692580223083496, 0.2697269916534424, 0.34154510498046875, 0.34165501594543457, 1.2130050659179688]"
6,testls.png,1cls.png,local,local_r,uncross,18,5.795897006988525,0.6439885563320584,0.4691413974250442,5.967051982879639,"[ 5.96705198 10.6789391  12.06286788 14.27872777 16.55930901 18.31108999
 19.85486794 24.79918694 26.55115795]","[ 6.08449793 11.03656006 13.54849696 15.06857014 17.86863995 18.47661781
 20.09263682 25.30072498 27.38235092]","[0.1174459457397461, 0.3576209545135498, 1.4856290817260742, 0.7898423671722412, 1.309330940246582, 0.1655278205871582, 0.23776888847351074, 0.5015380382537842, 0.8311929702758789]"
7,1ls.png,1cls.png,valid,line,uncross,20,3.7756266593933105,0.3775626659393311,0.32361420799888546,5.5350611209869385,"[ 5.53506112 12.67130709 15.13501692 16.08695602 20.71125293 22.19902992
 23.32701325 25.43129492 27.28708005 29.42304802]","[ 5.74841595 12.94058299 15.41257596 16.31653714 20.99667192 22.40474701
 23.54878998 25.80476284 28.62079406 29.78880906]","[0.21335482597351074, 0.2692759037017822, 0.2775590419769287, 0.22958111763000488, 0.2854189872741699, 0.2057170867919922, 0.22177672386169434, 0.37346792221069336, 1.3337140083312988, 0.36576104164123535]"
8,1cls.png,15ls.png,invalid,block,cross,8,7.197880506515503,1.7994701266288757,1.2111921700828256,9.863269090652466,[ 9.86326909 12.96715307 18.45539308 26.44758224],[11.08471489 13.18871403 20.73282504 29.92502403],"[1.2214457988739014, 0.22156095504760742, 2.2774319648742676, 3.4774417877197266]"
9,1cls.png,testls.png,local,local_l,cross,14,15.335338592529297,2.1907626560756137,1.8810867022605409,1.134793996810913,"[ 1.134794    7.09527302 11.27095199 15.85516214 25.07938719 26.76729298
 29.9275279 ]","[ 3.10040498  9.30066609 14.06914616 22.21272111 25.91676211 27.38899708
 30.47703028]","[1.9656109809875488, 2.205393075942993, 2.798194169998169, 6.357558965682983, 0.8373749256134033, 0.6217041015625, 0.5495023727416992]"
10,1cls.png,testls.png,local,local_l,cross,22,15.463741302490234,1.4057946638627485,1.0514416890064053,0.8710949420928955,"[ 0.87109494  1.87877607  5.9832449   7.36687088  9.67075396 14.96682477
 17.5510149  18.59078884 19.0868299  22.65520477 29.23923397]","[ 1.31644368  4.28451681  6.4925499   8.52455592 12.19639182 16.29261899
 18.48642468 18.65269184 20.31666493 26.49266577 30.26885486]","[0.44534873962402344, 2.405740737915039, 0.5093050003051758, 1.1576850414276123, 2.5256378650665283, 1.3257942199707031, 0.9354097843170166, 0.06190299987792969, 1.229835033416748, 3.837460994720459, 1.029620885848999]"
