trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,lsn.png,testls.png,cross,right,14,9.25434136390686,1.3220487662724085,0.6758993536182196,2.25673508644104,"[ 2.25673509  9.83273697 13.28051782 14.67239094 18.31253815 22.31289387
 26.32069206]","[ 2.71001506 11.41402102 14.12612891 16.13417697 19.43006206 23.36609316
 29.06234908]","[0.453279972076416, 1.5812840461730957, 0.8456110954284668, 1.4617860317230225, 1.1175239086151123, 1.053199291229248, 2.741657018661499]"
2,lst.png,testls.png,uncross,right,16,4.8030359745025635,0.6003794968128204,0.37528420687541675,3.6151468753814697,"[ 3.61514688  5.27124095  8.2553339  16.247576   19.20751405 22.59943891
 26.70366311 29.52735472]","[ 3.78070974  5.81263304  8.53269601 17.052634   19.38882875 23.95691586
 27.46891212 30.23697495]","[0.16556286811828613, 0.5413920879364014, 0.2773621082305908, 0.8050580024719238, 0.18131470680236816, 1.3574769496917725, 0.7652490139007568, 0.7096202373504639]"
3,lst.png,testls.png,uncross,right,16,5.315964460372925,0.6644955575466156,0.35148753237085884,2.735010862350464,"[ 2.73501086  4.95886207 10.54311275 14.77526379 16.49500203 20.45520687
 24.98318791 27.359236  ]","[ 3.05250096  5.7884469  10.74055171 15.71643472 17.6044929  21.51676798
 25.61276269 27.58888888]","[0.3174901008605957, 0.8295848369598389, 0.19743895530700684, 0.9411709308624268, 1.1094908714294434, 1.061561107635498, 0.6295747756958008, 0.22965288162231445]"
4,testls.png,lst.png,cross,left,28,7.517718315124512,0.5369798796517509,0.3036634170626594,4.807015895843506,"[ 4.8070159   8.47895098  9.52684402 11.00697398 13.70304799 16.0711031
 17.63098788 19.90296507 20.90302396 22.88712597 26.1272049  27.90320992
 29.207165   29.89503503]","[ 5.66037583  8.98054099  9.85249114 11.28452682 14.51658392 16.52455401
 18.2445569  20.12460876 21.372679   24.19669199 26.86053205 28.45273685
 29.30874085 30.18875289]","[0.8533599376678467, 0.5015900135040283, 0.32564711570739746, 0.27755284309387207, 0.8135359287261963, 0.45345091819763184, 0.6135690212249756, 0.22164368629455566, 0.46965503692626953, 1.3095660209655762, 0.7333271503448486, 0.5495269298553467, 0.10157585144042969, 0.2937178611755371]"
5,testls.png,lst.png,cross,left,22,8.517831325531006,0.7743483023210005,0.6240652700121488,2.9508891105651855,"[ 2.95088911  4.05481815  6.52694201  9.17497301 10.97502708 11.82290316
 13.5190711  16.19098401 20.21538305 25.39115405 29.16731501]","[ 3.34054422  4.78091121  7.07653713 10.02839923 11.05255604 12.00462317
 13.79655004 16.75689411 22.51670504 26.876755   30.27681589]","[0.38965511322021484, 0.726093053817749, 0.5495951175689697, 0.8534262180328369, 0.0775289535522461, 0.18172001838684082, 0.2774789333343506, 0.5659101009368896, 2.3013219833374023, 1.4856009483337402, 1.1095008850097656]"
6,testls.png,lst.png,cross,left,22,5.829790353775024,0.5299809412522749,0.25538883122708655,4.206913948059082,"[ 4.20691395  7.50276709  9.79116106 13.28714204 15.38306999 18.26304817
 20.09503984 22.59098411 24.59914112 27.30315995 28.26309299]","[ 4.92441988  8.04443502 10.08449984 13.66853905 15.85256886 18.87659407
 20.44465613 22.81272697 25.02072477 27.9255321  29.46061397]","[0.717505931854248, 0.5416679382324219, 0.2933387756347656, 0.381397008895874, 0.469498872756958, 0.6135458946228027, 0.34961628913879395, 0.22174286842346191, 0.4215836524963379, 0.6223721504211426, 1.1975209712982178]"
7,testls.png,lsn.png,uncross,left,16,8.908522605895996,1.1135653257369995,0.6544500941273315,2.5107948780059814,"[ 2.51079488  5.91883302 10.46298313 15.42314887 19.85509205 22.63907123
 24.50307703 30.26322293]","[ 4.0444262   6.42044401 11.99634027 16.76455307 20.93266821 23.14874792
 26.77276611 30.40479994]","[1.5336313247680664, 0.5016109943389893, 1.5333571434020996, 1.3414041996002197, 1.0775761604309082, 0.5096766948699951, 2.2696890830993652, 0.14157700538635254]"
8,lst.png,testls.png,uncross,right,12,3.832296848297119,0.6387161413828532,0.34221706813192604,6.01521897315979,[ 6.01521897  6.80689907 15.81534123 19.33518219 23.55927396 29.59963608],[ 6.30051422  7.61242008 16.95667791 19.45272827 24.3488059  30.29270196],"[0.2852952480316162, 0.8055210113525391, 1.1413366794586182, 0.11754608154296875, 0.789531946182251, 0.693065881729126]"
9,testls.png,lsn.png,uncross,left,14,9.174420833587646,1.310631547655378,0.9416755173709234,3.3671090602874756,"[ 3.36710906  5.19879699  7.95114112 10.31912494 16.79920983 21.91919303
 24.89521289]","[ 4.22047877  6.12458992  8.51660895 13.89267302 18.00450706 22.9325521
 25.93279886]","[0.8533697128295898, 0.925792932510376, 0.5654678344726562, 3.5735480785369873, 1.2052972316741943, 1.0133590698242188, 1.037585973739624]"
10,lst.png,testls.png,uncross,right,18,4.700029134750366,0.5222254594167074,0.25239165334356006,4.463242053985596,"[ 4.46324205  7.31109285  9.63092303 13.93525887 16.12696075 17.5194149
 21.28722191 23.87923288 25.63922   ]","[ 4.93238187  8.14054704 10.28712392 14.5804739  16.26867509 18.04485989
 22.18077374 24.27687812 25.78088284]","[0.46913981437683105, 0.8294541835784912, 0.6562008857727051, 0.6452150344848633, 0.14171433448791504, 0.5254449844360352, 0.8935518264770508, 0.3976452350616455, 0.1416628360748291]"
