trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,lst.png,testls.png,uncross,right,14,8.493892669677734,1.2134132385253906,0.388895337947848,3.7053961753845215,"[ 3.70539618  6.44911003  9.23346996 12.18524289 16.29738998 24.26574302
 27.49741411]","[ 5.494771    7.58274388 10.6467092  13.76683998 17.07071805 25.44697881
 28.11889791]","[1.789374828338623, 1.1336338520050049, 1.4132392406463623, 1.581597089767456, 0.7733280658721924, 1.1812357902526855, 0.6214838027954102]"
2,testls.png,lsn.png,uncross,left,10,8.603335618972778,1.7206671237945557,0.7397845600281394,5.135181903839111,[ 5.1351819   9.12697911 13.55106592 24.51150799 28.27934408],[ 7.43650913 10.03658915 15.89265108 26.8368001  29.00486517],"[2.3013272285461426, 0.9096100330352783, 2.341585159301758, 2.3252921104431152, 0.7255210876464844]"
3,testls.png,lst.png,cross,left,14,24.93079662322998,3.56154237474714,1.9900635082295737,1.8710126876831055,"[ 1.87101269  4.99088478  6.65495491 11.4869628  18.70310402 25.13517284
 26.95910978]","[ 4.38845062  5.9664557  10.86060691 18.1727407  24.47662687 26.49332786
 30.37378979]","[2.5174379348754883, 0.9755709171295166, 4.2056519985198975, 6.685777902603149, 5.773522853851318, 1.3581550121307373, 3.414680004119873]"
4,lst.png,testls.png,uncross,right,10,4.45105504989624,0.8902110099792481,0.11564971945293352,3.6710259914398193,[ 3.67102599  5.72678804  8.46281075 16.35931802 23.25541997],[ 4.56444788  6.66828799  9.23651409 17.43663692 24.02053094],"[0.8934218883514404, 0.9414999485015869, 0.7737033367156982, 1.0773189067840576, 0.765110969543457]"
5,lsn.png,testls.png,cross,right,10,8.86732029914856,1.773464059829712,1.057906747010158,5.6550538539886475,[ 5.65505385 10.59910583 15.05520797 22.11937284 26.72735691],[ 7.03642702 11.50038481 17.27709985 22.86070895 30.34879708],"[1.3813731670379639, 0.9012789726257324, 2.2218918800354004, 0.7413361072540283, 3.6214401721954346]"
6,testls.png,lsn.png,uncross,left,14,6.310006380081177,0.9014294828687396,0.3095933879567541,5.351208925247192,"[ 5.35120893 10.69534492 12.81501603 14.67896509 15.86278987 17.87908196
 26.75953007]","[ 5.668432   11.93243384 13.42860389 15.75648284 16.68464589 19.00467801
 27.87666678]","[0.31722307205200195, 1.237088918685913, 0.6135878562927246, 1.0775177478790283, 0.8218560218811035, 1.125596046447754, 1.1171367168426514]"
7,testls.png,lst.png,cross,left,4,28.187713861465454,14.093856930732727,8.016225934028625,1.8389689922332764,[1.83896899 8.286798  ],[ 7.91659999 30.39688087],"[6.077630996704102, 22.110082864761353]"
8,lst.png,testls.png,uncross,right,6,3.4476938247680664,1.1492312749226887,0.5555811069073922,15.67121696472168,[15.67121696 18.65497518 25.79936504],[16.580369   19.27634406 27.71653795],"[0.9091520309448242, 0.6213688850402832, 1.917172908782959]"
9,testls.png,lsn.png,uncross,left,6,5.232248544692993,1.7440828482309978,0.052304782224400784,11.319222927093506,[11.31922293 14.39901686 19.92728686],[13.06839895 16.07664514 21.7327311 ],"[1.749176025390625, 1.6776282787322998, 1.8054442405700684]"
10,testls.png,lst.png,cross,left,10,24.44362497329712,4.888724994659424,2.6658754632796993,1.3829960823059082,[ 1.38299608  4.1668601   8.6309042  13.55101705 20.94343925],[ 3.33253312  7.67635107 11.91661215 19.83649802 30.35684729],"[1.9495370388031006, 3.509490966796875, 3.285707950592041, 6.285480976104736, 9.413408041000366]"
11,lsn.png,testls.png,cross,right,10,6.163424015045166,1.2326848030090332,0.931551509198527,2.9671521186828613,[ 2.96715212  7.15897107  9.45485997 14.52705002 18.73523927],[ 5.94056916  8.26051497 10.46856809 15.43640804 18.9006362 ],"[2.973417043685913, 1.10154390335083, 1.0137081146240234, 0.909358024597168, 0.16539692878723145]"
