trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,testls.png,lsn.png,uncross,left,8,20.85469126701355,5.2136728167533875,2.8839592090275175,5.130409002304077,[ 5.130409   13.91414809 23.18646598 30.12240696],[12.43160605 21.44788408 28.82455921 30.50407195],"[7.301197052001953, 7.533735990524292, 5.6380932331085205, 0.3816649913787842]"
2,lsn.png,testls.png,cross,right,2,0.10945677757263184,0.10945677757263184,0.0,30.431450128555298,[30.43145013],[30.54090691],[0.10945677757263184]
3,testls.png,lst.png,cross,left,6,23.688382625579834,7.896127541859944,4.4430136834474965,3.967033863067627,[ 3.96703386  8.94329691 25.05529881],[ 8.20440507 23.09267902 30.35692811],"[4.237371206283569, 14.1493821144104, 5.301629304885864]"
4,testls.png,lsn.png,uncross,left,8,16.654332637786865,4.163583159446716,3.1964401756869556,7.45520806312561,[ 7.45520806 19.4233861  25.39131117 27.4711833 ],[16.79670215 23.44485402 26.21287823 29.94098687],"[9.341494083404541, 4.021467924118042, 0.8215670585632324, 2.46980357170105]"
5,testls.png,lsn.png,uncross,left,4,22.5313880443573,11.26569402217865,6.123925089836121,5.903316259384155,[ 5.90331626 24.63118434],[23.29293537 29.77295327],"[17.38961911201477, 5.141768932342529]"
6,lsn.png,testls.png,cross,right,0,0.0,0.0,0.0,30.0,[],[],[]
7,testls.png,lsn.png,uncross,left,6,18.944973945617676,6.314991315205892,4.4206304714161835,5.247239112854004,[ 5.24723911 15.47870088 20.51125693],[15.42097998 15.60456395 29.15662694],"[10.173740863800049, 0.12586307525634766, 8.64537000656128]"
8,lsn.png,testls.png,cross,right,0,0.0,0.0,0.0,30.0,[],[],[]
9,lst.png,testls.png,uncross,right,2,0.6052589416503906,0.6052589416503906,0.0,17.287516117095947,[17.28751612],[17.89277506],[0.6052589416503906]
10,lst.png,testls.png,uncross,right,0,0.0,0.0,0.0,30.0,[],[],[]
11,testls.png,lst.png,cross,left,4,27.4758141040802,13.7379070520401,11.73228895664215,2.446989059448242,[2.44698906 4.84673023],[ 4.45260715 30.31692624],"[2.005618095397949, 25.47019600868225]"
12,testls.png,lst.png,cross,left,4,28.091230869293213,14.045615434646606,1.8877174854278564,1.711435079574585,[ 1.71143508 18.14305806],[17.644768   30.30095601],"[15.933332920074463, 12.15789794921875]"
13,lst.png,testls.png,uncross,right,0,0.0,0.0,0.0,30.0,[],[],[]
14,lst.png,testls.png,uncross,right,2,0.30927419662475586,0.30927419662475586,0.0,9.383363723754883,[9.38336372],[9.69263792],[0.30927419662475586]
15,lsn.png,testls.png,cross,right,0,0.0,0.0,0.0,30.0,[],[],[]
16,testls.png,lsn.png,uncross,left,6,15.552713632583618,5.184237877527873,6.404365942200094,11.735290765762329,[11.73529077 12.61482906 28.30319309],[12.17261887 26.85264087 29.18076682],"[0.4373281002044678, 14.237811803817749, 0.8775737285614014]"
17,testls.png,lst.png,cross,left,4,23.51534676551819,11.757673382759094,7.440048575401306,2.3430440425872803,[ 2.34304404 26.03929114],[21.540766   30.35691595],"[19.1977219581604, 4.317624807357788]"
18,lst.png,testls.png,uncross,right,2,0.15738701820373535,0.15738701820373535,0.0,8.567302942276001,[8.56730294],[8.72468996],[0.15738701820373535]
19,lsn.png,testls.png,cross,right,0,0.0,0.0,0.0,30.0,[],[],[]
20,testls.png,lst.png,cross,left,4,25.427313089370728,12.713656544685364,10.97999632358551,2.3512461185455322,[ 2.35124612 27.03120995],[26.04489899 28.76487017],"[23.693652868270874, 1.7336602210998535]"
