trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,lsn.png,testls.png,cross,right,8,7.204925537109375,1.8012313842773438,0.8110290486701018,5.308890104293823,[ 5.3088901  13.49305391 21.19718504 29.75715995],[ 6.85009313 15.59411931 24.09044099 30.42656112],"[1.5412030220031738, 2.1010653972625732, 2.8932559490203857, 0.6694011688232422]"
2,testls.png,lst.png,cross,left,12,12.112844467163086,2.0188074111938477,1.2381586309069899,1.3908069133758545,[ 1.39080691  5.10306621  8.35099316 15.05523896 20.25514293 25.79932809],[ 3.40434885  6.56456494 12.98850608 16.65277696 20.94851995 27.50870395],"[2.0135419368743896, 1.461498737335205, 4.637512922286987, 1.5975379943847656, 0.6933770179748535, 1.7093758583068848]"
3,testls.png,lsn.png,uncross,left,12,14.160618305206299,2.3601030508677163,1.2396001944810757,4.383180141448975,[ 4.38318014  6.999089   11.2472322  16.13545609 23.28736901 28.31172991],[ 5.83667612  9.28476119 13.3646071  21.14074612 24.53301311 30.36487103],"[1.453495979309082, 2.285672187805176, 2.117374897003174, 5.0052900314331055, 1.2456440925598145, 2.0531411170959473]"
4,testls.png,lst.png,cross,left,10,16.044586896896362,3.2089173793792725,1.7735733887086587,2.7110393047332764,[ 2.7110393   7.57508135 15.28730702 25.02336216 28.42323422],[ 4.85250115 11.91667128 21.44568014 26.54889011 30.30086827],"[2.1414618492126465, 4.34158992767334, 6.158373117446899, 1.5255279541015625, 1.877634048461914]"
5,testls.png,lsn.png,uncross,left,8,8.99744200706482,2.249360501766205,1.1216028438096393,3.967099189758301,[ 3.96709919 15.19144607 20.26316404 28.89549422],[ 7.03644514 16.07664919 23.86872506 30.33282614],"[3.0693459510803223, 0.8852031230926514, 3.6055610179901123, 1.4373319149017334]"
6,lsn.png,testls.png,cross,right,12,5.738004684448242,0.956334114074707,0.5247378239514868,4.031117916107178,[ 4.03111792  7.36711693 10.623173   13.28715301 21.43953896 26.95959401],[ 5.00598693  8.10866475 11.49258876 13.34074807 22.788903   28.70880699],"[0.9748690128326416, 0.7415478229522705, 0.8694157600402832, 0.05359506607055664, 1.3493640422821045, 1.7492129802703857]"
7,lst.png,testls.png,uncross,right,8,9.461843967437744,2.365460991859436,2.059311815589833,3.6711859703063965,[ 3.67118597 11.66341186 16.751297   30.4477129 ],[ 6.58871293 12.74862385 22.19692397 30.46119094],"[2.917526960372925, 1.085211992263794, 5.445626974105835, 0.01347804069519043]"
8,lst.png,testls.png,uncross,right,8,5.189233779907227,1.2973084449768066,0.9765759653526405,2.6791982650756836,[ 2.67919827  7.95942211 15.00763226 24.20779419],[ 2.76472116  9.14077806 16.11690331 27.02087808],"[0.08552289009094238, 1.1813559532165527, 1.1092710494995117, 2.8130838871002197]"
9,testls.png,lsn.png,uncross,left,8,7.813846111297607,1.9534615278244019,1.046109362346606,5.983354330062866,[ 5.98335433  9.96715331 17.19124198 23.14354205],[ 7.72467422 13.66871715 18.59686613 24.10888028],"[1.7413198947906494, 3.701563835144043, 1.4056241512298584, 0.9653382301330566]"
10,testls.png,lst.png,cross,left,12,13.665188074111938,2.2775313456853232,0.550589286610717,3.15907883644104,[ 3.15907884  7.71887112 10.96705413 15.13512802 20.095397   28.19954991],[ 6.47656012  9.1565671  13.24489188 17.43671203 22.31681299 30.30872297],"[3.317481279373169, 1.4376959800720215, 2.2778377532958984, 2.301584005355835, 2.2214159965515137, 2.109173059463501]"
11,lsn.png,testls.png,cross,right,8,6.261790037155151,1.5654475092887878,0.43851835572737907,2.495213031768799,[ 2.49521303  9.55924416 17.90360093 22.07122302],[ 4.58865213 10.82074404 19.78884602 23.09282899],"[2.0934391021728516, 1.2614998817443848, 1.8852450847625732, 1.0216059684753418]"
12,lst.png,testls.png,uncross,right,6,6.968852758407593,2.3229509194691977,0.8071362203340351,8.247145414352417,[ 8.24714541 14.33520222 21.2633512 ],[ 9.59659815 16.62873435 24.58921909],"[1.3494527339935303, 2.293532133102417, 3.3258678913116455]"
13,lsn.png,testls.png,cross,right,12,10.826135396957397,1.8043558994928997,0.38521094515436954,3.559049129486084,[ 3.55904913  6.66305995  9.66315103 14.35112309 19.1431551  25.50324416],[ 4.90853     8.38063908 10.98943901 16.44475698 21.53282285 27.45272994],"[1.3494808673858643, 1.7175791263580322, 1.3262879848480225, 2.0936338901519775, 2.3896677494049072, 1.9494857788085938]"
14,testls.png,lsn.png,uncross,left,10,8.69055724143982,1.7381114482879638,1.0277463019820392,3.0951759815216064,[ 3.09517598  9.91129494 16.35934401 23.77542186 29.99162102],[ 4.86055017 13.30050087 18.54060006 24.68483186 30.43693209],"[1.7653741836547852, 3.3892059326171875, 2.181256055831909, 0.9094099998474121, 0.4453110694885254]"
15,testls.png,lsn.png,uncross,left,10,8.075477123260498,1.6150954246520997,0.9093424738736818,3.407109260559082,[ 3.40710926 14.04749513 17.83915615 23.071208   26.00735998],[ 5.65258718 15.33273506 20.84479618 23.476861   27.14082623],"[2.2454779148101807, 1.2852399349212646, 3.0056400299072266, 0.4056529998779297, 1.1334662437438965]"
16,testls.png,lst.png,cross,left,8,7.949679374694824,1.987419843673706,0.5075533246232148,5.135279893875122,[ 5.13527989 11.9593308  18.88727093 25.24732995],[ 7.92466283 13.340698   20.75665498 27.15687513],"[2.7893829345703125, 1.3813672065734863, 1.8693840503692627, 1.9095451831817627]"
17,lsn.png,testls.png,cross,right,6,8.03199577331543,2.6773319244384766,1.1717209803732604,9.423561096191406,[ 9.4235611  17.11138701 29.23171091],[12.42079687 21.03682995 30.34102798],"[2.9972357749938965, 3.925442934036255, 1.1093170642852783]"
