trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,testls.png,lsn.png,uncross,left,8,4.317388296127319,1.0793470740318298,0.5561752750406053,5.964035987854004,[ 5.96403599 12.15599179 15.05966902 25.0840919 ],[ 6.30531693 13.08137512 16.95314693 26.24133801],"[0.3412809371948242, 0.9253833293914795, 1.8934779167175293, 1.1572461128234863]"
2,lsn.png,testls.png,cross,right,12,8.27246904373169,1.3787448406219482,1.1103424612085635,3.9990451335906982,[ 3.99904513  8.87120414 13.94325185 19.12718415 24.79946995 29.20730424],[ 4.82854605  9.3165381  16.02860594 19.43669009 28.30067611 30.30887222],"[0.8295009136199951, 0.44533395767211914, 2.0853540897369385, 0.3095059394836426, 3.501206159591675, 1.1015679836273193]"
3,lsn.png,testls.png,cross,right,16,9.380990028381348,1.1726237535476685,0.9469491480243837,4.455073118209839,"[ 4.45507312  9.16691899 13.91911602 18.43115306 20.50289893 23.2710011
 25.62314105 26.13492513]","[ 5.372437    9.63655305 14.87654305 19.83663511 21.57271004 23.85271502
 26.06073022 29.67689395]","[0.9173638820648193, 0.4696340560913086, 0.9574270248413086, 1.4054820537567139, 1.0698111057281494, 0.5817139148712158, 0.437589168548584, 3.541968822479248]"
4,testls.png,lsn.png,uncross,left,12,4.296267747879028,0.7160446246465048,0.5889485488123437,7.679153919219971,[ 7.67915392 15.37532187 18.20723891 20.34309506 25.19932985 29.39945388],[ 9.64434099 15.86867189 18.6846137  20.51665306 26.00471187 29.78086972],"[1.9651870727539062, 0.4933500289916992, 0.477374792098999, 0.17355799674987793, 0.8053820133209229, 0.38141584396362305]"
5,lst.png,testls.png,uncross,right,10,8.39138674736023,1.678277349472046,1.086600282334961,3.142815113067627,[ 3.14281511 15.19105721 20.20697331 23.39128804 28.6311152 ],[ 4.06037831 18.42187214 20.93513608 26.14850998 29.38873911],"[0.9175631999969482, 3.2308149337768555, 0.7281627655029297, 2.7572219371795654, 0.7576239109039307]"
6,testls.png,lsn.png,uncross,left,8,3.3977017402648926,0.8494254350662231,0.607899683177334,8.887058019638062,[ 8.88705802 12.78328419 15.92694521 28.8314383 ],[ 9.11661506 14.23653412 16.18057203 30.29270625],"[0.22955703735351562, 1.4532499313354492, 0.25362682342529297, 1.4612679481506348]"
7,lst.png,testls.png,uncross,right,10,5.579890012741089,1.1159780025482178,0.5832716690563718,9.975069999694824,[ 9.97507    11.97484875 15.151016   19.23904705 21.95097399],[10.76453304 12.86053801 17.3084178  20.52465701 22.41269994],"[0.7894630432128906, 0.8856892585754395, 2.1574018001556396, 1.2856099605560303, 0.46172595024108887]"
8,lst.png,testls.png,uncross,right,10,8.10882830619812,1.621765661239624,0.8626645159765025,4.34311318397522,[ 4.34311318  8.02302098 12.82332802 18.88719511 24.23151207],[ 6.17242694  8.76457429 15.69310617 19.45315504 26.33373523],"[1.8293137550354004, 0.7415533065795898, 2.8697781562805176, 0.5659599304199219, 2.1022231578826904]"
9,lst.png,testls.png,uncross,right,14,4.478473901748657,0.6397819859640939,0.3853775611406387,3.4462950229644775,"[ 3.44629502  6.76640797 13.57452321 17.17435598 28.38267207 29.05430698
 30.16641617]","[ 4.0997591   7.68377495 14.89184999 17.88387299 28.9800272  29.18001509
 30.32415199]","[0.6534640789031982, 0.9173669815063477, 1.3173267841339111, 0.7095170021057129, 0.5973551273345947, 0.12570810317993164, 0.15773582458496094]"
10,testls.png,lst.png,cross,left,12,13.545211553573608,2.2575352589289346,1.2233602145486262,3.1510210037231445,[ 3.151021    7.1191268  13.71114993 20.57554913 25.43148494 27.36715984],[ 3.85262394 11.70076919 15.43662405 22.36476612 27.24481392 30.30110598],"[0.7016029357910156, 4.581642389297485, 1.7254741191864014, 1.7892169952392578, 1.8133289813995361, 2.933946132659912]"
11,lsn.png,testls.png,cross,right,10,4.6988043785095215,0.9397608757019043,0.6745710529047902,7.543131113052368,[ 7.54313111 17.63953209 18.262923   23.7913363  28.34311604],[ 9.66842127 18.10063004 18.79657626 25.04465818 28.66855717],"[2.1252901554107666, 0.46109795570373535, 0.5336532592773438, 1.253321886062622, 0.3254411220550537]"
12,testls.png,lsn.png,uncross,left,14,4.822234153747559,0.6888905933925084,0.2786343714973684,4.0149571895599365,"[ 4.01495719  7.80718017 10.55897593 12.76704001 15.98343706 21.79127598
 25.023489  ]","[ 4.51659322  8.47652197 11.36444426 13.62869906 17.19670391 22.22880411
 25.35682297]","[0.5016360282897949, 0.6693418025970459, 0.8054683208465576, 0.861659049987793, 1.2132668495178223, 0.437528133392334, 0.33333396911621094]"
13,lsn.png,testls.png,cross,right,12,8.040526390075684,1.3400877316792805,0.9250761701459538,4.151176929473877,[ 4.15117693 10.6632309  13.09521198 17.31153512 19.7592268  22.05531502],[ 5.50860214 11.35648584 14.82873917 17.92480302 20.24484897 25.212744  ],"[1.3574252128601074, 0.6932549476623535, 1.7335271835327148, 0.6132678985595703, 0.4856221675872803, 3.1574289798736572]"
14,testls.png,lst.png,cross,left,18,11.202336549758911,1.2447040610843234,0.9000289810047413,3.975184202194214,"[ 3.9751842   6.86311507 11.38335419 13.00737786 15.14333105 18.19114995
 20.67129302 26.61550093 28.59134007]","[ 4.71663094  8.58076692 11.54879212 13.50875497 17.43665504 18.51692796
 23.57381392 27.444767   30.31687403]","[0.7414467334747314, 1.7176518440246582, 0.16543793678283691, 0.5013771057128906, 2.2933239936828613, 0.3257780075073242, 2.9025208950042725, 0.8292660713195801, 1.7255339622497559]"
15,testls.png,lsn.png,uncross,left,10,5.57901406288147,1.115802812576294,1.1050182680592566,6.431668043136597,[ 6.43166804 19.09532714 20.43910003 23.47127676 30.11947799],[ 9.50864005 19.25282598 21.00482202 25.04468298 30.324893  ],"[3.076972007751465, 0.15749883651733398, 0.5657219886779785, 1.5734062194824219, 0.2054150104522705]"
16,testls.png,lst.png,cross,left,12,10.128905773162842,1.688150962193807,1.2448611315026765,2.790888786315918,[ 2.79088879  5.50275302  8.45462179 12.23877883 16.42306399 25.46319103],[ 3.06033468  7.39621711 11.07629991 13.04429388 20.26042175 26.1646359 ],"[0.26944589614868164, 1.8934640884399414, 2.621678113937378, 0.8055150508880615, 3.837357759475708, 0.7014448642730713]"
17,testls.png,lst.png,cross,left,12,11.369061470031738,1.894843578338623,1.3808814828621137,3.671082019805908,[ 3.67108202 13.07924509 15.91906905 18.13512301 23.17515397 29.21526313],[ 5.28454709 13.80442023 16.52472496 21.8927381  27.00485921 30.05270815],"[1.6134650707244873, 0.725175142288208, 0.6056559085845947, 3.757615089416504, 3.829705238342285, 0.8374450206756592]"
18,lst.png,testls.png,uncross,right,8,4.949974060058594,1.2374935150146484,0.6857980588099218,2.6631479263305664,[ 2.66314793  7.86327195 23.34353685 28.83961487],[ 3.87654996 10.10887194 23.6529758  30.02114797],"[1.2134020328521729, 2.2455999851226807, 0.30943894386291504, 1.1815330982208252]"
19,lsn.png,testls.png,cross,right,6,4.064573764801025,1.3548579216003418,0.34439100260816086,1.7910552024841309,[ 1.7910552   8.23137212 22.39948392],[ 2.67651105  9.70844102 24.10153294],"[0.885455846786499, 1.4770689010620117, 1.7020490169525146]"
20,testls.png,lst.png,cross,left,16,8.17267107963562,1.0215838849544525,0.7592964034630657,5.167057275772095,"[ 5.16705728  9.83905005 11.99909401 15.0549891  19.24712014 22.54305005
 25.1748991  28.44706106]","[ 8.07648516 10.35651827 12.89242601 16.06917    20.17241812 22.90856314
 25.62068415 29.54872704]","[2.9094278812408447, 0.5174682140350342, 0.8933320045471191, 1.0141808986663818, 0.9252979755401611, 0.3655130863189697, 0.4457850456237793, 1.10166597366333]"
