trial,right_eye,left_eye,disparity,test_eye,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,lst.png,testls.png,uncross,right,10,7.786834001541138,1.5573668003082275,1.1105067046044583,5.927890062332153,[ 5.92789006  8.35973597 11.47167897 18.44787693 24.7279408 ],[ 6.68508697  8.51714802 14.90121603 20.10929585 26.50920987],"[0.7571969032287598, 0.15741205215454102, 3.429537057876587, 1.6614189147949219, 1.7812690734863281]"
2,testls.png,lst.png,cross,left,14,9.085978984832764,1.297996997833252,0.5375723480108339,4.015132904052734,"[ 4.0151329   7.45502806 10.82327795 17.88740802 21.78306413 24.55920005
 28.64741802]","[ 5.58050299  8.71642208 12.01244903 20.18880987 22.35682201 25.25264406
 30.14885807]","[1.5653700828552246, 1.2613940238952637, 1.1891710758209229, 2.3014018535614014, 0.5737578868865967, 0.693444013595581, 1.5014400482177734]"
3,lsn.png,testls.png,cross,right,14,8.542886734008789,1.2204123905726842,0.9074294648651386,4.999144792556763,"[ 4.99914479  7.97500181 12.48719311 17.75911498 23.03113794 26.90321183
 30.31125689]","[ 5.74055886  9.66046691 14.29270983 20.70058894 23.80477595 27.43695378
 30.37289381]","[0.7414140701293945, 1.6854650974273682, 1.8055167198181152, 2.941473960876465, 0.7736380100250244, 0.5337419509887695, 0.061636924743652344]"
4,testls.png,lsn.png,uncross,left,16,10.772010564804077,1.3465013206005096,0.7747458883489611,4.663193225860596,"[ 4.66319323  9.71133709 13.11108732 18.71924615 21.09544921 22.60714912
 23.84703016 29.70349026]","[ 6.18856502 11.42849517 15.62073517 19.08478904 21.64490414 23.73283219
 26.22887707 30.30079532]","[1.525371789932251, 1.7171580791473389, 2.509647846221924, 0.3655428886413574, 0.549454927444458, 1.125683069229126, 2.3818469047546387, 0.5973050594329834]"
5,lst.png,testls.png,uncross,right,18,4.209248781204224,0.4676943090226915,0.37467207728773155,2.407212972640991,"[ 2.40721297  3.85519981  6.07119203  9.08712101 13.83125114 15.95913315
 18.67116499 25.19970012 30.23941898]","[ 2.50059104  4.39667201  6.836483    9.33272696 14.15676093 17.2287991
 19.40468597 25.300946   30.37297797]","[0.09337806701660156, 0.5414721965789795, 0.7652909755706787, 0.2456059455871582, 0.32550978660583496, 1.2696659564971924, 0.7335209846496582, 0.10124588012695312, 0.133558988571167]"
6,testls.png,lsn.png,uncross,left,14,6.677915334701538,0.9539879049573626,0.8011390641766054,2.615457057952881,"[ 2.61545706  8.00699496 12.07899094 15.58299494 24.03135705 26.85535908
 29.35906482]","[ 3.83618379  8.30046701 13.03652787 18.34882474 24.57271791 27.41270494
 29.70070791]","[1.220726728439331, 0.2934720516204834, 0.9575369358062744, 2.7658298015594482, 0.5413608551025391, 0.5573458671569824, 0.3416430950164795]"
7,lst.png,testls.png,uncross,right,10,6.14691686630249,1.229383373260498,0.5977903548108694,3.01495099067688,[ 3.01495099  6.383147   11.36714005 18.47938681 24.983459  ],[ 4.156461    7.276546   12.76460481 20.73253703 25.44485188],"[1.141510009765625, 0.8933990001678467, 1.3974647521972656, 2.253150224685669, 0.461392879486084]"
8,testls.png,lst.png,cross,left,20,10.089733362197876,1.0089733362197877,0.5849762706898832,3.0071041584014893,"[ 3.00710416  7.95118117 11.679389   14.031353   16.303195   19.26335502
 21.58330393 23.2792778  24.39917898 28.3995769 ]","[ 5.41254616  9.62079692 12.65260196 14.61519003 16.97274804 19.90087509
 22.65294695 24.3329401  24.68501401 29.14098907]","[2.405441999435425, 1.6696157455444336, 0.9732129573822021, 0.5838370323181152, 0.6695530414581299, 0.6375200748443604, 1.0696430206298828, 1.0536623001098633, 0.28583502769470215, 0.7414121627807617]"
9,testls.png,lst.png,cross,left,12,7.864150047302246,1.3106916745503743,0.5609329137852481,3.4952139854431152,[ 3.49521399  7.27925014 12.01526499 18.02330494 25.13557601 27.73526406],[ 4.74854016  9.29265714 13.02054596 19.90062499 26.52472591 28.06093001],"[1.253326177597046, 2.013406991958618, 1.0052809715270996, 1.8773200511932373, 1.3891499042510986, 0.3256659507751465]"
10,lsn.png,testls.png,cross,right,12,7.216295480728149,1.2027159134546916,0.750262957664326,4.9351487159729,[ 4.93514872 10.03923678 14.607198   18.75126481 23.91932702 29.99121475],[ 5.7003119  11.40438485 15.88463283 19.48468304 26.620821   30.36485195],"[0.7651631832122803, 1.3651480674743652, 1.2774348258972168, 0.7334182262420654, 2.701493978500366, 0.37363719940185547]"
