trial,width,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1,16,8.549733400344849,1.068716675043106,1.1863830086546243,4.094326019287109,"[ 4.09432602  5.21393204  7.90202594 10.51780701 14.55788612 21.97436404
 22.15000105 23.59001493]","[ 4.36350513  5.48350406  8.21151519 12.41139603 16.82081413 22.06779695
 22.21979213 26.97176695]","[0.269179105758667, 0.26957201957702637, 0.30948925018310547, 1.8935890197753906, 2.262928009033203, 0.09343290328979492, 0.06979107856750488, 3.3817520141601562]"
2,1,24,6.595520496368408,0.5496267080307007,0.4167403491498915,2.054673194885254,"[ 2.05467319  3.15872622  4.98285818  7.07082129  7.95869732  9.52702212
 11.15097904 13.99091196 19.44711113 23.39094234 26.85547328 30.03925824]","[ 2.2763741   3.38844013  5.31644917  7.30848122  8.24444699  9.71651196
 12.28437924 15.46865916 19.94864821 24.42863011 27.52479529 30.3171792 ]","[0.22170090675354004, 0.22971391677856445, 0.3335909843444824, 0.23765993118286133, 0.2857496738433838, 0.18948984146118164, 1.1334002017974854, 1.4777472019195557, 0.5015370845794678, 1.0376877784729004, 0.6693220138549805, 0.2779209613800049]"
3,10,10,2.8598198890686035,0.5719639778137207,0.5432200581489774,7.343019008636475,[ 7.34301901 12.13478327 13.99874806 25.49502015 28.07124805],[ 7.55642319 12.38045311 14.50846505 25.7486341  29.70866299],"[0.21340417861938477, 0.24566984176635742, 0.5097169876098633, 0.2536139488220215, 1.6374149322509766]"
4,1,18,3.866722345352173,0.42963581615024143,0.283921515945638,5.1911938190460205,"[ 5.19119382  6.43860292  8.15856266  9.18262768 10.79864287 15.19078779
 16.27076077 27.38332081 28.51099801]","[ 5.4924078   6.67641497  8.39640594  9.94823074 11.03637981 15.42058492
 17.35637283 27.69270301 28.97271967]","[0.30121397972106934, 0.23781204223632812, 0.23784327507019043, 0.7656030654907227, 0.23773694038391113, 0.2297971248626709, 1.0856120586395264, 0.30938220024108887, 0.46172165870666504]"
5,1,16,7.414929151535034,0.9268661439418793,0.6223454032136783,6.639049053192139,"[ 6.63904905  9.15890408 10.66296816 12.67894197 14.49497199 16.36705899
 19.80699492 24.87145996]","[ 7.82221508  9.8926239  11.8206861  13.08467507 14.80476809 18.6126039
 20.96480203 25.09290409]","[1.1831660270690918, 0.7337198257446289, 1.1577179431915283, 0.4057331085205078, 0.3097960948944092, 2.245544910430908, 1.1578071117401123, 0.22144412994384766]"
6,10,10,3.9802510738372803,0.7960502147674561,0.6719253278558369,12.231276035308838,[12.23127604 13.93489909 14.68705201 18.18312716 20.72691917],[12.74073815 14.26067615 15.01265502 20.29271197 21.43674326],"[0.5094621181488037, 0.3257770538330078, 0.32560300827026367, 2.1095848083496094, 0.7098240852355957]"
7,10,16,5.229525327682495,0.6536906659603119,0.40139293299197004,6.182862043380737,"[ 6.18286204  9.11073995 10.74280596 11.71059895 16.03889394 19.02276397
 22.24680495 23.74293876]","[ 6.7564218   9.29231191 11.66046286 11.88444185 17.37254286 19.388556
 23.35661483 24.31658173]","[0.5735597610473633, 0.18157196044921875, 0.9176568984985352, 0.1738429069519043, 1.333648920059204, 0.36579203605651855, 1.1098098754882812, 0.5736429691314697]"
8,20,12,7.032876968383789,1.172146161397298,0.8676985967987842,6.175255060195923,[ 6.17525506 12.03096819 16.33514905 21.59142613 22.53517413 27.19114017],[ 7.18031621 13.04446793 16.84468818 22.15687513 23.41279411 30.25284815],"[1.005061149597168, 1.0134997367858887, 0.5095391273498535, 0.5654489994049072, 0.8776199817657471, 3.0617079734802246]"
9,10,8,3.9999918937683105,0.9999979734420776,0.7377630641231524,9.367419242858887,[ 9.36741924 18.21547318 22.95122623 26.65526104],[11.37459731 18.50887418 23.24491501 28.06098509],"[2.0071780681610107, 0.29340100288391113, 0.2936887741088867, 1.405724048614502]"
10,20,10,2.9796316623687744,0.5959263324737549,0.5308306246216963,2.9908981323242188,[ 2.99089813 11.04726219 19.26317191 27.19155192 30.303334  ],[ 3.23653293 11.49271488 20.88482499 27.71689796 30.44487906],"[0.2456347942352295, 0.4454526901245117, 1.6216530799865723, 0.525346040725708, 0.14154505729675293]"
11,20,12,3.3773813247680664,0.5628968874613444,0.27509442237083653,5.231211185455322,[ 5.23121119  8.23124313 11.35910296 17.01554108 17.74308801 23.1672411 ],[ 5.50868702  9.14073086 11.84473085 17.31681013 18.70893693 23.604913  ],"[0.27747583389282227, 0.9094877243041992, 0.4856278896331787, 0.3012690544128418, 0.9658489227294922, 0.4376718997955322]"
12,20,14,5.51380467414856,0.7876863820212228,0.43982966590083544,8.695312738418579,"[ 8.69531274 13.84720778 15.0789659  18.27087188 21.73512888 22.36713004
 28.18358707]","[ 9.44466877 14.97277784 15.49275684 18.53278303 22.25287175 23.15920401
 29.83694673]","[0.7493560314178467, 1.1255700588226318, 0.4137909412384033, 0.26191115379333496, 0.5177428722381592, 0.7920739650726318, 1.6533596515655518]"
13,20,10,5.626911640167236,1.1253823280334472,0.6270576738751983,2.2629799842834473,[ 2.26297998  7.50306797 11.67094898 20.61501193 25.2315259 ],[ 2.62838626  8.4682951  12.7485671  21.55647182 27.50872612],"[0.3654062747955322, 0.9652271270751953, 1.07761812210083, 0.9414598941802979, 2.277200222015381]"
14,10,8,3.4379782676696777,0.8594945669174194,0.6731417371084708,8.343119859695435,[ 8.34311986 12.43140888 19.4710722  26.50336289],[ 8.63655996 12.65264916 20.508744   28.38898897],"[0.2934401035308838, 0.22124028205871582, 1.0376718044281006, 1.8856260776519775]"
