trial,width,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,10,16,6.940773010253906,0.8675966262817383,0.6638146226995427,4.645046949386597,"[ 4.64504695  6.05299711 11.06912184 14.324821   16.33295894 23.97334385
 25.25318694 30.39722681]","[ 5.37054992  8.42639184 12.19470882 14.8826921  17.29070807 24.18686986
 26.17064786 30.46690798]","[0.7255029678344727, 2.373394727706909, 1.125586986541748, 0.5578711032867432, 0.9577491283416748, 0.21352601051330566, 0.9174609184265137, 0.06968116760253906]"
2,1,16,7.919407606124878,0.9899259507656097,0.6268980729416842,4.6471521854400635,"[ 4.64715219  6.04709315  7.7110672   9.12710619 15.84756827 24.77556515
 27.16735101 29.01532006]","[ 5.47944808  6.54078627  8.51675105 10.10066414 18.4607873  25.57288599
 27.88518906 29.70111895]","[0.8322958946228027, 0.49369311332702637, 0.8056838512420654, 0.9735579490661621, 2.6132190227508545, 0.7973208427429199, 0.7178380489349365, 0.6857988834381104]"
3,20,16,6.508440256118774,0.8135550320148468,0.5954600472083331,2.8870227336883545,"[ 2.88702273  6.56700277  7.98309779 11.47909784 13.06297183 14.97508287
 20.51964378 26.82363987]","[ 3.96451783  6.69274282  9.98059964 11.72477579 13.27676082 15.668823
 21.76492476 27.73285508]","[1.0774950981140137, 0.12574005126953125, 1.9975018501281738, 0.24567794799804688, 0.2137889862060547, 0.6937401294708252, 1.2452809810638428, 0.9092152118682861]"
4,10,14,7.239052772521973,1.0341503960745675,0.42399334142586825,3.375119924545288,"[ 3.37511992  6.70320582  9.35102892 15.25552273 21.93571305 24.43916082
 29.58342075]","[ 4.56481886  7.39678693 11.18882895 16.04497266 23.33284783 25.03702879
 30.31694078]","[1.1896989345550537, 0.6935811042785645, 1.8378000259399414, 0.78944993019104, 1.397134780883789, 0.5978679656982422, 0.7335200309753418]"
5,1,20,14.489131689071655,1.4489131689071655,1.0514745830731256,1.2148609161376953,"[ 1.21486092  2.98289895  5.30294895  7.61496401  8.90295506 11.25504375
 15.61509991 20.29512286 23.56721902 29.64728594]","[ 1.70060587  3.51661396  6.19663906  8.3327508  10.50077701 13.02882886
 18.42882681 21.42084885 27.42080188 30.34083796]","[0.4857449531555176, 0.533715009689331, 0.8936901092529297, 0.7177867889404297, 1.5978219509124756, 1.77378511428833, 2.8137269020080566, 1.1257259845733643, 3.8535828590393066, 0.6935520172119141]"
6,20,10,7.483689069747925,1.496737813949585,0.41082809284884664,2.830842971801758,[ 2.83084297  9.21533799 16.71146107 21.79929781 26.92723322],[ 4.86870003 11.17278814 17.82085586 22.9887321  28.116786  ],"[2.0378570556640625, 1.9574501514434814, 1.1093947887420654, 1.189434289932251, 1.1895527839660645]"
7,10,12,7.155529022216797,1.192588170369466,0.6121197815802535,3.695211172103882,[ 3.69521117 10.19106412 13.41493011 18.43936801 20.67916417 27.37518215],[ 5.17246008 11.45250797 14.47670507 19.38876224 22.90324831 27.55676508],"[1.4772489070892334, 1.261443853378296, 1.0617749691009521, 0.9493942260742188, 2.2240841388702393, 0.18158292770385742]"
8,1,14,14.272423028945923,2.0389175755637035,0.8921088195679715,1.726572036743164,"[ 1.72657204  3.63869691  8.75110102 11.58288479 15.62286496 20.97504091
 27.47116113]","[ 2.06838703  5.02039909 10.67656183 14.33248305 17.66060686 24.20551991
 30.07678699]","[0.3418149948120117, 1.381702184677124, 1.9254608154296875, 2.749598264694214, 2.0377418994903564, 3.2304790019989014, 2.605625867843628]"
9,10,14,6.775376796722412,0.9679109709603446,0.473277776392095,3.13480806350708,"[ 3.13480806 10.59894204 11.62286496 17.3430233  23.44697094 27.66340709
 29.66309619]","[ 4.07627821 10.76458502 12.8203721  19.06044388 24.76468992 28.55680418
 30.20531607]","[0.9414701461791992, 0.16564297676086426, 1.1975071430206299, 1.7174205780029297, 1.3177189826965332, 0.8933970928192139, 0.542219877243042]"
10,1,16,13.015082597732544,1.626885324716568,0.7266824103364552,3.4472110271453857,"[ 3.44721103  5.95892406  9.75900483 11.19898605 14.05501699 17.85511184
 21.19951487 24.82313585]","[ 4.13268781  7.65272975 10.9567039  12.382411   15.78068185 20.08485675
 22.3408761  27.98104095]","[0.6854767799377441, 1.6938056945800781, 1.1976990699768066, 1.183424949645996, 1.7256648540496826, 2.2297449111938477, 1.1413612365722656, 3.157905101776123]"
