trial,width,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,10,6,2.8086986541748047,0.9362328847249349,0.6957278227242106,11.13397216796875,[11.13397217 14.40563798 16.7577312 ],[13.051337   14.78734493 17.26735806],"[1.9173648357391357, 0.38170695304870605, 0.5096268653869629]"
2,1,18,16.26882243156433,1.8076469368404813,1.2282090688814424,4.582727909088135,"[ 4.58272791  8.71069527 14.37479496 18.16688299 20.14286304 23.86301517
 26.318892   28.12695813 29.63904619]","[ 7.76442003 13.11633706 16.45258212 18.9244771  22.0526042  25.63783121
 27.38853812 28.56470013 30.29320812]","[3.181692123413086, 4.405641794204712, 2.077787160873413, 0.757594108581543, 1.9097411632537842, 1.7748160362243652, 1.0696461200714111, 0.4377419948577881, 0.6541619300842285]"
3,10,6,11.0156888961792,3.6718962987264,3.4899773488101196,10.047221899032593,[10.0472219  13.255059   28.58364797],[10.7163949  21.82061005 30.36461282],"[0.669173002243042, 8.565551042556763, 1.7809648513793945]"
4,1,8,10.878603219985962,2.7196508049964905,3.151815612916886,3.9909090995788574,[ 3.9909091   9.4787209  20.34281492 27.27904725],[ 5.26035714 17.63650513 20.83656502 28.23666811],"[1.2694480419158936, 8.157784223556519, 0.49375009536743164, 0.9576208591461182]"
5,10,4,7.674781799316406,3.837390899658203,2.992032766342163,18.87938117980957,[18.87938118 29.23142791],[25.70880485 30.07678604],"[6.829423666000366, 0.84535813331604]"
6,10,8,10.670826196670532,2.667706549167633,1.0146373098156451,5.687139987945557,[ 5.68713999  8.08691692 16.78323793 26.07941103],[ 7.22846293 10.15651202 19.60448313 30.31807399],"[1.541322946548462, 2.0695950984954834, 2.8212451934814453, 4.238662958145142]"
7,1,10,22.439132928848267,4.487826585769653,3.777072581844024,3.8707330226898193,[ 3.87073302  5.6387639  17.40671492 21.69478679 28.7669158 ],[ 4.13241482 16.52638793 20.86866474 27.93279099 30.35678887],"[0.26168179512023926, 10.887624025344849, 3.4619498252868652, 6.238004207611084, 1.5898730754852295]"
8,20,4,17.260266304016113,8.630133152008057,0.5286149978637695,7.255374193191528,[ 7.25537419 22.26350999],[16.41412234 30.36502814],"[9.158748149871826, 8.101518154144287]"
9,20,8,17.742029190063477,4.435507297515869,2.558221082761649,1.6148619651794434,[ 1.61486197 10.23130703 20.25495505 27.60751486],[ 4.89246011 19.084656   23.11671782 30.35683417],"[3.2775981426239014, 8.853348970413208, 2.861762762069702, 2.749319314956665]"
10,20,8,17.703304290771484,4.425826072692871,3.2709125512668744,1.3827576637268066,[ 1.38275766  8.93515062 12.22314596 20.19142079],[ 3.88454175  9.55753589 17.48474073 29.50896096],"[2.501784086227417, 0.6223852634429932, 5.261594772338867, 9.317540168762207]"
11,1,14,12.694635391235352,1.8135193416050501,1.5131497375351106,3.3508801460266113,"[ 3.35088015 11.53526998 19.39903212 23.53491902 26.48766804 28.06298399
 29.87103605]","[ 4.43622518 16.58855724 22.076648   25.4924612  27.364712   28.68506193
 30.29275918]","[1.0853450298309326, 5.0532872676849365, 2.6776158809661865, 1.9575421810150146, 0.8770439624786377, 0.6220779418945312, 0.4217231273651123]"
12,10,14,14.039658546447754,2.0056655066353932,1.9160428370381841,1.5187129974365234,"[ 1.518713    5.45510316 17.49515986 24.09510994 26.85497618 29.74315
 30.47904396]","[ 3.84448075 11.86042309 18.92470312 25.5408349  28.54888296 30.38088989
 30.58069992]","[2.325767755508423, 6.405319929122925, 1.4295432567596436, 1.4457249641418457, 1.6939067840576172, 0.637739896774292, 0.10165596008300781]"
13,20,10,13.98032808303833,2.796065616607666,1.3007791841446499,4.446838140487671,[ 4.44683814 10.95897603 16.19876099 19.93495393 21.5990448 ],[ 7.80436587 15.49255204 18.65270591 20.50875497 24.66052318],"[3.357527732849121, 4.533576011657715, 2.4539449214935303, 0.5738010406494141, 3.06147837638855]"
14,20,4,5.930795907974243,2.9653979539871216,0.22422802448272705,11.639259099960327,[11.6392591  16.85510802],[14.38042903 20.044734  ],"[2.7411699295043945, 3.1896259784698486]"
15,1,8,23.311142206192017,5.827785551548004,1.511471828796226,2.174699068069458,[ 2.17469907 12.67083287 19.54298496 25.27096105],[10.61257911 17.44446802 24.54874706 30.36482596],"[8.437880039215088, 4.773635149002075, 5.005762100219727, 5.093864917755127]"
