trial,width,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1,20,5.8321568965911865,0.5832156896591186,0.8410447057796986,2.5891451835632324,"[ 2.58914518  7.05311322 10.00509405 10.40492129 11.67695594 15.5649879
 18.96536207 25.84555507 26.91699624 27.205024  ]","[ 2.89060616  7.39465308 10.35472012 10.50662112 11.86657596 15.79475808
 19.27477407 26.82693315 26.94691801 30.20275211]","[0.30146098136901855, 0.3415398597717285, 0.3496260643005371, 0.1016998291015625, 0.1896200180053711, 0.22977018356323242, 0.30941200256347656, 0.9813780784606934, 0.029921770095825195, 2.997728109359741]"
2,1,14,6.504786252975464,0.9292551789964948,0.6232261549258717,6.7671873569488525,"[ 6.76718736 10.65498614 11.51881599 12.8468461  18.43924928 24.03920412
 26.94310617]","[ 7.02856708 10.84465718 12.74113631 14.28552723 20.23677707 24.29280829
 28.28470826]","[0.2613797187805176, 0.18967103958129883, 1.222320318222046, 1.4386811256408691, 1.79752779006958, 0.2536041736602783, 1.341602087020874]"
3,10,10,1.6600968837738037,0.33201937675476073,0.04047972725242439,17.6234130859375,[17.62341309 18.7589519  24.27943707 25.33501911 27.19904804],[17.94070292 19.06866217 24.55680585 25.72488809 27.56490707],"[0.3172898292541504, 0.3097102642059326, 0.27736878395080566, 0.38986897468566895, 0.3658590316772461]"
4,20,6,1.5684680938720703,0.5228226979573568,0.22948508845523796,25.34336805343628,[25.34336805 28.46329117 29.71092296],[25.57261109 29.25270915 30.26073003],"[0.22924304008483887, 0.7894179821014404, 0.549807071685791]"
5,20,6,2.6005189418792725,0.8668396472930908,0.431136217357863,4.494951963424683,[ 4.49495196  9.67121315 28.8715291 ],[ 5.37259507 10.00470209 30.26091599],"[0.8776431083679199, 0.33348894119262695, 1.3893868923187256]"
6,1,16,9.997446060180664,1.249680757522583,0.9522538017221048,9.271198987960815,"[ 9.27119899 12.04699397 12.76719904 15.318887   17.49477291 19.31104112
 19.96702909 27.07137513]","[ 9.884655   12.50892806 14.48471904 15.7726531  19.27674103 19.46870995
 21.5888052  30.26073194]","[0.6134560108184814, 0.46193408966064453, 1.717519998550415, 0.4537661075592041, 1.781968116760254, 0.1576688289642334, 1.6217761039733887, 3.189356803894043]"
7,1,20,4.879673480987549,0.48796734809875486,0.4746508986798326,3.998878002166748,"[ 3.998878    6.83084798  9.28730798 12.83122492 13.72686291 19.10299802
 20.15924907 22.358917   24.09498286 28.73502707]","[ 4.25233698  6.85230398  9.60450792 13.03657818 14.09255195 19.6447041
 20.94072199 22.54875994 25.87678909 29.15671515]","[0.25345897674560547, 0.021456003189086914, 0.3171999454498291, 0.2053532600402832, 0.3656890392303467, 0.5417060852050781, 0.78147292137146, 0.18984293937683105, 1.781806230545044, 0.4216880798339844]"
8,10,10,2.6037609577178955,0.5207521915435791,0.4317923308596989,10.207322835922241,[10.20732284 15.7594018  16.57508874 20.15905881 22.24710703],[10.42092276 15.99675179 16.89267302 21.52460575 22.71678686],"[0.21359992027282715, 0.2373499870300293, 0.3175842761993408, 1.3655469417572021, 0.4696798324584961]"
9,1,20,8.016655206680298,0.8016655206680298,0.7839733199316087,6.303285121917725,"[ 6.30328512  8.73487115 10.83091211 12.16696405 13.53491712 14.87094617
 19.94314694 23.77509403 26.96746111 28.1110661 ]","[ 6.51662517  9.01266408 11.19664001 12.38869715 14.03677106 16.66876316
 22.0926671  23.90885496 27.31688213 30.11675429]","[0.21334004402160645, 0.27779293060302734, 0.36572790145874023, 0.22173309326171875, 0.5018539428710938, 1.7978169918060303, 2.1495201587677, 0.13376092910766602, 0.34942102432250977, 2.005688190460205]"
10,20,10,3.7801151275634766,0.7560230255126953,0.2907662673940366,11.831218242645264,[11.83121824 14.37495017 18.47091818 19.08683801 26.33529711],[12.71659017 15.26863623 19.0126493  20.22864914 26.652812  ],"[0.8853719234466553, 0.893686056137085, 0.5417311191558838, 1.1418111324310303, 0.31751489639282227]"
11,20,6,3.824093818664551,1.2746979395548503,0.9283370629752358,8.983350038528442,[ 8.98335004 19.20725107 26.62327218],[ 9.82041311 21.7727139  27.0448401 ],"[0.8370630741119385, 2.565462827682495, 0.4215679168701172]"
12,10,14,5.1190831661224365,0.7312975951603481,0.5837261160742002,8.175075054168701,"[ 8.17507505  8.96674037 11.58326316 19.66317225 23.22310114 26.56715703
 27.59096336]","[ 8.41252518  9.33253121 11.86058021 20.26863837 24.96474004 26.93277836
 29.11676216]","[0.23745012283325195, 0.36579084396362305, 0.2773170471191406, 0.6054661273956299, 1.7416388988494873, 0.36562132835388184, 1.5257987976074219]"
13,10,8,2.861894130706787,0.7154735326766968,0.5775042160272621,14.031344890594482,[14.03134489 17.24709892 22.679111   29.32707095],[14.30867004 17.58859491 24.38049102 29.86876392],"[0.2773251533508301, 0.34149599075317383, 1.7013800144195557, 0.5416929721832275]"
14,20,8,4.373423099517822,1.0933557748794556,0.47455654716821327,11.439244031906128,[11.43924403 16.13549805 25.59144402 27.80737615],[12.18864202 18.04478002 26.50075817 28.61280513],"[0.7493979930877686, 1.9092819690704346, 0.9093141555786133, 0.8054289817810059]"
15,10,4,2.8995981216430664,1.4497990608215332,0.48362207412719727,13.735087156295776,[13.73508716 24.311203  ],[14.70126414 26.24462414],"[0.9661769866943359, 1.9334211349487305]"
