trial,width,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1,16,6.124744892120361,0.7655931115150452,0.5852645139823915,3.397819995880127,"[ 3.39782     6.51785707 10.05363989 13.39770913 15.07755899 17.77362514
 19.69398975 23.67792678]","[ 3.5790658   7.99533105 10.72331285 13.603338   16.50739789 17.99544692
 20.05148005 25.25949907]","[0.1812458038330078, 1.4774739742279053, 0.669672966003418, 0.2056288719177246, 1.4298388957977295, 0.22182178497314453, 0.35749030113220215, 1.5815722942352295]"
2,1,22,8.006103277206421,0.7278275706551292,0.4969604234147863,5.127316951751709,"[ 5.12731695  7.05507374  8.88710785 12.14335394 14.02298594 17.703125
 18.88687801 20.59106994 23.415205   25.4871819  29.71112084]","[ 5.39661193  7.51663971  9.24474502 12.50872684 15.61254311 18.00474691
 19.70084    21.45294595 25.13270903 26.45297599 30.01303792]","[0.26929497718811035, 0.4615659713745117, 0.3576371669769287, 0.365372896194458, 1.58955717086792, 0.3016219139099121, 0.8139619827270508, 0.8618760108947754, 1.7175040245056152, 0.9657940864562988, 0.30191707611083984]"
3,20,8,2.4222137928009033,0.6055534482002258,0.6561904692106759,6.967077255249023,[ 6.96707726 14.32710195 16.64725709 20.55910611],[ 7.21265197 14.56465888 16.84467006 22.30077529],"[0.2455747127532959, 0.23755693435668945, 0.19741296768188477, 1.7416691780090332]"
4,1,16,3.460507392883301,0.4325634241104126,0.23643797213509643,8.583046197891235,"[ 8.5830462  10.39106727 11.91877913 14.98297405 16.59115005 23.56748319
 25.43123412 28.36745119]","[ 8.89270306 10.7406621  12.7005651  15.25270295 17.4766171  23.82085299
 25.79675007 28.61283922]","[0.30965685844421387, 0.3495948314666748, 0.7817859649658203, 0.2697288990020752, 0.8854670524597168, 0.2533698081970215, 0.36551594734191895, 0.24538803100585938]"
5,20,10,3.6670212745666504,0.7334042549133301,0.5032817167521848,6.110341787338257,[ 6.11034179  8.1900239  14.47014594 19.12634015 24.85421801],[ 6.52356982  9.90741205 15.13148594 19.65177011 25.20385313],"[0.41322803497314453, 1.7173881530761719, 0.6613399982452393, 0.5254299640655518, 0.34963512420654297]"
6,20,12,4.201406240463257,0.7002343734105428,0.855851385081724,9.159004926681519,[ 9.15900493 14.80702806 15.75878191 17.35879612 26.63137889 30.06330085],[ 9.62051201 15.00459909 16.09248686 19.96469092 26.95670199 30.34070611],"[0.46150708198547363, 0.1975710391998291, 0.33370494842529297, 2.6058948040008545, 0.32532310485839844, 0.2774052619934082]"
7,1,22,4.550026178359985,0.4136387434872714,0.1842690915704554,2.287118911743164,"[ 2.28711891  5.87119484  7.98318195  9.12665081 10.21476102 13.574857
 15.42276478 16.72669387 18.98284602 23.27913499 26.21531391]","[ 2.5164628   6.13254881  8.30052304  9.39663601 10.46853304 13.97261691
 15.73259497 17.35658193 19.77265    23.70878482 26.87661195]","[0.22934389114379883, 0.2613539695739746, 0.3173410892486572, 0.2699851989746094, 0.2537720203399658, 0.39775991439819336, 0.3098301887512207, 0.6298880577087402, 0.7898039817810059, 0.42964982986450195, 0.6612980365753174]"
8,20,12,3.473008871078491,0.5788348118464152,0.5011550035841972,5.063004970550537,[ 5.06300497  8.4233098  13.59938908 16.77504301 24.24757195 25.22304916],[ 5.41272497  8.71664095 13.75670195 18.34080005 25.13263798 25.44487095],"[0.3497200012207031, 0.2933311462402344, 0.15731287002563477, 1.5657570362091064, 0.885066032409668, 0.22182178497314453]"
9,10,14,4.207561731338501,0.6010802473340716,0.3585059238294664,9.64731216430664,"[ 9.64731216 15.12705731 15.99107814 18.09493613 20.83891511 23.64712214
 27.55113506]","[ 9.89267111 15.33272815 16.67669296 19.16468    21.00476122 24.57281017
 28.46077418]","[0.24535894393920898, 0.20567083358764648, 0.685614824295044, 1.0697438716888428, 0.1658461093902588, 0.9256880283355713, 0.9096391201019287]"
10,20,12,6.2734034061431885,1.045567234357198,0.7272141384802789,6.495020866394043,[ 6.49502087 13.29535604 15.45490193 16.8228662  24.12741709 29.03927112],[ 7.03672791 14.52449083 15.67668509 19.21262598 25.50880098 29.54890585],"[0.5417070388793945, 1.2291347980499268, 0.22178316116333008, 2.3897597789764404, 1.3813838958740234, 0.5096347332000732]"
