trial,width,transient_counts,cdt,mdt,dtstd,latency,press_timing,release_timing,key_press_list
1,1,8,9.590547323226929,2.397636830806732,0.7313901715426991,7.349212884902954,[ 7.34921288 11.66888809 18.08501315 22.82899094],[ 8.99457216 15.23460317 20.52269411 24.77078295],"[1.6453592777252197, 3.5657150745391846, 2.437680959701538, 1.9417920112609863]"
2,20,6,3.6884567737579346,1.2294855912526448,0.23841448479413807,8.319200992584229,[ 8.31920099 23.31944704 25.46315479],[ 9.88470697 24.35684085 26.54871178],"[1.5655059814453125, 1.0373938083648682, 1.085556983947754]"
3,20,12,8.617873907089233,1.4363123178482056,0.4007398143012177,3.951000690460205,[ 3.95100069  9.84698486 13.05494785 18.93509483 22.86308885 28.07918906],[ 5.07653379 11.23670363 14.14049888 20.37269878 24.15686297 30.36488199],"[1.125533103942871, 1.389718770980835, 1.0855510234832764, 1.4376039505004883, 1.293774127960205, 2.2856929302215576]"
4,10,14,8.206730604171753,1.1723900863102503,0.6261573276403972,2.9034221172332764,"[ 2.90342212  5.32684898 10.11106801 15.59124899 17.21496797 22.40726113
 27.11964726]","[ 3.52443409  6.25264001 12.70073795 16.74074197 17.78084898 23.54884696
 28.33294511]","[0.6210119724273682, 0.9257910251617432, 2.589669942855835, 1.1494929790496826, 0.5658810138702393, 1.1415858268737793, 1.2132978439331055]"
5,1,6,6.824620723724365,2.2748735745747886,0.6834605910752617,5.335157155990601,[ 5.33515716 12.03911781 17.51112509],[ 7.46859598 13.55665398 20.68477082],"[2.1334388256073, 1.5175361633300781, 3.1736457347869873]"
6,10,10,8.219962120056152,1.6439924240112305,0.228197625223044,8.655037879943848,[ 8.65503788 14.02277088 17.17479491 21.49524093 25.99103093],[10.38033009 15.89265895 18.91644788 23.17264485 27.19675589],"[1.7252922058105469, 1.8698880672454834, 1.7416529655456543, 1.6774039268493652, 1.2057249546051025]"
7,1,10,10.478244543075562,2.095648908615112,0.9170770955946771,5.103142023086548,[ 5.10314202 11.33506489 18.84720111 22.43119502 24.50316191],[ 8.21457171 13.88475394 21.18085003 22.82081294 26.59702086],"[3.1114296913146973, 2.5496890544891357, 2.333648920059204, 0.389617919921875, 2.0938589572906494]"
8,10,12,7.6916117668151855,1.2819352944691975,1.1021641998585812,7.671303749084473,[ 7.67130375 10.70330071 14.31900477 16.87904477 21.11114168 26.35930586],[ 7.77263093 11.4606638  16.02076793 17.87679982 21.74068403 29.86316681],"[0.10132718086242676, 0.7573630809783936, 1.7017631530761719, 0.9977550506591797, 0.629542350769043, 3.5038609504699707]"
9,10,10,15.32404375076294,3.064808750152588,3.3866168892261466,6.559473037719727,[ 6.55947304 19.93534493 22.45528889 24.46321893 29.19933796],[16.34085679 21.57274985 23.18106985 26.48497701 30.357054  ],"[9.781383752822876, 1.6374049186706543, 0.7257809638977051, 2.0217580795288086, 1.1577160358428955]"
10,20,12,12.985317707061768,2.164219617843628,1.3841421305349886,5.5111448764801025,[ 5.51114488  9.44697881 14.84701896 17.67102098 19.99100184 24.65569997],[ 6.60457683 12.39657974 15.37267399 18.70072579 22.94876695 29.08485985],"[1.0934319496154785, 2.9496009349823, 0.5256550312042236, 1.0297048091888428, 2.9577651023864746, 4.429159879684448]"
11,20,10,12.406724214553833,2.4813448429107665,1.7657774898472256,3.8148090839385986,[ 3.81480908  9.75853419 11.59881115 16.43084693 23.56700492],[ 7.83643317 10.62257099 11.98851514 21.38849998 25.74071121],"[4.0216240882873535, 0.8640367984771729, 0.38970398902893066, 4.957653045654297, 2.173706293106079]"
12,1,12,9.90548825263977,1.6509147087732952,0.7270093393089219,3.374760866165161,[ 3.37476087  7.75878978 15.04734182 18.14305258 22.39103889 27.63102388],[ 4.14848876  8.69246387 16.30042481 19.94870496 24.86876798 30.29264569],"[0.7737278938293457, 0.9336740970611572, 1.2530829906463623, 1.805652379989624, 2.477729082107544, 2.6616218090057373]"
13,1,10,8.97131896018982,1.7942637920379638,0.8913386574716989,8.111395835876465,[ 8.11139584 10.64718485 16.32715964 24.24748588 27.61528182],[ 9.22852993 12.83681464 18.8286438  24.652812   30.37302661],"[1.1171340942382812, 2.1896297931671143, 2.5014841556549072, 0.40532612800598145, 2.757744789123535]"
14,20,10,10.579910039901733,2.115982007980347,1.2865296453527637,6.846869945526123,[ 6.84686995 10.95866203 14.56661487 16.87075806 23.83897996],[ 8.60413504 12.36441588 14.86836195 20.74048305 27.08439898],"[1.7572650909423828, 1.4057538509368896, 0.30174708366394043, 3.869724988937378, 3.2454190254211426]"
15,10,14,13.05701208114624,1.8652874401637487,2.0649179603117656,4.0869300365448,"[ 4.08693004  5.61459517 10.50304413 18.41524315 21.23927212 28.47957516
 30.16752124]","[ 4.66056705  8.49267721 17.029248   19.67003512 22.3008101  28.91692233
 30.49293327]","[0.5736370086669922, 2.878082036972046, 6.526203870773315, 1.2547919750213623, 1.0615379810333252, 0.4373471736907959, 0.3254120349884033]"
